comment,sentiment
This is undoubtedly the most beautiful version of this song I've ever heard ,Positive
"How can a voice be so beautiful and rugged at the same time, and get a grown person to cry ",Positive
This version gives a different vibe. It feels like you loved someone but then lost her. So you promise to wait for her no matter how long it'll takes.,Positive
one of the most unique voices...he's just built different.,Positive
"Imagine trying not to cry while watching your bride walk down the aisle, and then this powerful masterpiece comes on.",Neutral
I cry every time I hear him sing it. His voice is extraordinary.,Positive
How does he POSSIBLY have that RANGE???!!! I'm amazed every time I hear him sing.,Neutral
The one who has lost their loved one can feel this pain deep down to the core ,Neutral
So beautiful the emotion he put the song is insane wow!️ so beautiful James.,Positive
"I must tell you, James Arthur, I have followed your whole career, from the beginning and you are the most talented  man I  have ever heard.  You bring out emotions from your fans.  That is the key to being a great artist and that is what you are.",Positive
"Just changing the lyrics from ""everyday"" to ""every night"" changes everything and detail about the song. Definitely one of the best covers ever.",Positive
This was my wedding song. My wife passed last year with this song playing in the background. I have not been able to listen to it again since then but this version just sits different. It makes me feel everything the original does but somehow colors it with happy memories instead of the painful ones. Its almost like he had loss in mind when he was singing it. Very soulful,Neutral
"When he says ""I've died every night waiting for you "" I think of him ",Neutral
That's why I love James Arthur; he reminds me of the past and opens wounds that were deep; A voice from another world,Neutral
James never fails to give the song a more variety of emotions that the we need fo feel. His versatility and the way he gives his every cover song a new taste is tremendous. It only proves that he is one of the singers that we should stan.,Positive
Heart beats fast,Positive
This song ABSOLUTELY needed more soul. This man delivered on that in spades!!!!,Positive
He has a voice that tells a million stories..,Neutral
Only James Arthur can get better an original version. He puts his heart and soul in every single song and he definitely  touches my heart every time I listen to his stunning voice. He is the best singer ever for me without any doubt.,Positive
I have always loved his songs but this one hits diffrently  the way he sang made me wanna cry  This is by far the best cover as well as a totally different take on the original song i have ever heard ,Positive
"James, please release this. You are the most amazing singer and the best version I have heard of the song. I could listen to this 24 hours a day. Love it. You are a beautiful person inside and out and I know you will be an amazing father to your beautiful daughter. You deserve to be on the stage receiving award after award. Keep doing what you are doing, you have one of the best voices that I have ever heard.",Positive
Song lyrics:,Neutral
His voice makes me fly to another dimension. Always so special ️,Positive
,Neutral
"Christina's Version makes me smile, feel excited about the idea how nice it was to love and beloved. ",Positive
"it's impossible to feel nothing the moment this man starts singing... really, a gift.",Negative
"Sweeter than a dozen roses.  Thank you, James, for blessing us with this beautiful rendition. Happy Valentine's Day to you. ",Positive
Absolutely fantastic. You appeal to all ages James. I am 72 and have loved your voice since X Factor. That was a brilliant cover. Needs to be played over and over. Thank you James.,Positive
James is a gem . He can sing anything with his special twist !! ,Positive
