comment,sentiment
"Dear Ed Sheeran,",Neutral
"""The only person she wanted to talk about Augustus Waters' death was Augustus Waters"" - this line made me cry",Neutral
"Thanks for being part of the TFIOS movie, Ed. Beautiful song. -John",Positive
"Im surprised that this song isn’t high up there, this song is amazing!",Positive
"""You gave me a forever within the numbered days..""",Neutral
"""The Fault in our Stars"" is one of the most beautiful book I've ever read and this song is one of the most beautiful song I've ever heard.",Positive
Am I the only one who's crying? Cause HELL this song is BEAUTIFUL,Positive
My heart aches every time i listen to this song :'),Neutral
This song makes me cry so much. The video just makes me miss Gus even more.,Positive
"Everything about the fault in our stars is touching. The book, the film, the songs. Thank John Green for this",Neutral
I'm cying over someone I haven't even met yet. That's how powerful this song is.,Positive
Dear stranger.... You have a great taste in music..... See you again after 20 yrs.,Positive
I hope everyone who reads this comment gets a little infinity of their own someday.  It's the most we can hope for in this world.,Positive
"I think the stars are there to remind us that the night is dark and life can be so annoying that you want to die, but there is hope, as little as this lights in the dark sky, scattered, hope is everywhere.",Negative
"""I'm in love with you,"" he said quietly.",Positive
perfect song for dark room and alone with headphones. it sweeps you with emotion,Positive
"""There are infinite numbers between 0 and 1.",Neutral
nothing can prepare me for the amount of tears I will cry when I see this movie. ,Neutral
I can't explain the amount of justice that this song does to the book. Ed Sheeran was a perfect match for this story. I can just hear this in the background of my life now. John Green and Ed Sheeran.. The deadly power couple.,Positive
why does this reminds me of the Weasley twins after the war,Neutral
"Saturday 21 of November, 2020, I'm alive to continue hearing this song, that's why I'm happy.",Positive
this guy born and god touch him with his hands.... is amazing.,Positive
Lyrics:,Neutral
Can’t we just appreciate how ed sheeran making every single of his songs hit us hard and very meaningful? em cryin .,Neutral
"""Don't Panic!"" these are the last words of my dad on his deathbed., this song makes me cry a ton, I miss him dearly everyday. Love you dad. ",Neutral
"This is one of my favorite songs. It makes me feel relaxed. I like to go up to the roof, watch the stars and just listen to music. It makes me feel less anxious and stressed, taking nearly everything off of my mind because I’m too busy admiring how beautiful the sky looks. Lately, my heart has been feeling heavy and I’ve been hopping onto the roof. This song is my absolute favorite.",Neutral
