comment,sentiment
how i wish i was her,Neutral
Can I be her?,Neutral
"James, I think you don't realise how big impact your words can have on someone. Your songs helped me multiple times when I was fighting with my own problems... your voice is such a healer. Thank you , you're an angel ",Neutral
"Sana kapag nasa inyo na yung babaeng pinangarap nyo noon, ingatan nyo hindi lang na masaktan ng iba, kung hindi ng masaktan nyo rin, dahil may hindi kayo naintindihan.",Neutral
"I'm leaving this comment here so after a month or a year when someone likes it, I get reminded of this song ️",Neutral
Im just gonna leave this here so that when someone likes it ill be reminded of this song,Negative
Huy ba' t ako ang nasasaktan para ky arthur? Grabi yong lyrics huhuhu,Neutral
I remember listening to this song looking at the ceiling and thinking about being really loved,Positive
James is a feeling,Neutral
"James' songs are perfect touching our hearts, the emotions are indescribable when listening to this song, love it!!!",Positive
Im pretty sure i dont speak for me alone when i m singing  : CAN I BE HER !!!!!  CAN I BE THE ONE YOU TALK ABOUT IN ALL YOUR STORIES ,Positive
3:09 i really do love this song so much,Positive
“can i be the one you talk about in all your stories” i love this.,Positive
"The first girl I've ever been smth with dedicated me this song like 4 years ago. Just today I remembered her and the name of this song popped in my head. Damn, time flies.",Positive
Damn. This song summarizes my feelings right now. ,Positive
this makes me think of scenarios in my head which I know will never happen ️,Neutral
"James, you're my favorite singer. Your music is haven to my ears. Thank you for all of your hard work and for making all of us feel the emotions that you're trying and succed to convey through your beautiful songs. ",Positive
"""I swear that every word you sing You wrote them for me""... always",Neutral
This song makes my heart beat just thinking about that maybe one day someone will think about me this way,Neutral
"Beautiful music, voice and best of all decent yet meaningful lyrics. I used to think all English songs just had beautiful music/instrumental and disgusting lyrics, but the more songs I am listening to, no matter what language I am beginning to realise there are songs out there with beautiful music and decent meaningful lyrics.️️",Positive
I know whenever we listen James' songs we will be transported into his story and feel the song! Another amazing one,Positive
"This is what you do best, this song is simply sublime and your interpretation is at the same time soft, poetic, expressive and profound. ",Positive
Can I be Him?,Neutral
God bless you for this beautiful piece ,Positive
time goes by and this song is still one of my favorites ️,Neutral
So this is my story.,Neutral
Can I be him?,Neutral
His voice just healing everyone ,Neutral
I'm crying with this Song ,Negative
This music is so beautiful it’s like a story every time I Heard- this song my heart is mealted I love his voice I’m really proud of him evryone is proud of him I love you James Arthur️️,Positive
This song is what I think of when I think of all the crushes I’ve had so far in my life  and how jealous I was if  they were loving up to someone else. Honestly my best advice is love yourself first and never forget the love you have and don’t ever stop trying ,Positive
"cada música, cada canção que ele cria é simplesmente linda ",Neutral
When you can love someone this deeply but never feel like you deserve to be loved that way,Positive
"This song has such a sweet melody, angelic voice and beautiful lyrics... yet so underrated!",Positive
This man's vocals are so angelical and ethereal I can't even...he's literally the GOAT,Neutral
His voice is so painfully beautiful,Positive
I remember listening to this for hours when it was released I was heartbroken and just listen to this song for hours and always think and sing for her that can I be that man who you love but now I know what's done is done there's no coming back how hard I try I failed to be her man but now I'm happy that at least she's happy now with someone else. Whoever is seeing this one don't cheat your partners cause you don't know if you would ever get them back   ,Neutral
this song hurts me so much because I listened to this song way back when I was deeply hurt by someone whom I thought I would end up with. Listening to this again brings me nostalgic pain.,Neutral
This dude doesn't get the fame he truely deserves .... Sooo underrated,Positive
"James você é incrível, amo suas músicas pra sempre ",Neutral
"James Arhur nn é apenas música, é uma mistura de sentimentos diversos!",Neutral
I haven't heard it yet but if it's your song I know it's going to be good ️,Positive
"1:24 Can I be her? Just kidding, I’m happy for you. ",Positive
I've fallen for a woman I can never have. I hate that she loves the man who ignores her when she needs him. He's always busy and can't even call her to tell her he misses her.,Negative
THIS SONG HELPED ME TO GET OUT DEPRESSION FR !!! YOU R AMAZING JAMES HOPE YOU HAVING AN AMAZING DAYYYY,Positive
[Verse 1],Neutral
"""I swear that every word u sang , u wrote them for me """,Neutral
"Quando as luzes se apagaram e eu estava sozinha, foi o som da sua voz que me curou️‍",Neutral
"Yes, he can be him!  Love the ending!  ",Positive
"This song gives me chills while thinking about my past feelings for a person that I know that he will never be mine in this lifetime, maybe in the next lifetime instead? Can I be her? :(",Negative
Can i be her?,Neutral
"James arthur não é só um cantor, é um sentimento vivo!",Neutral
Can I be him ,Neutral
"I've listened to this many times because it's really relatable, and I never get bored",Neutral
James Arthur's song is like feelings not just lyrics with a instrument,Neutral
"This song is still one of my favorites. Beautiful and sweet video to match those gorgeous lyrics, voice and music ",Positive
Still here >>>,Neutral
You walked into the room and now my heart has been stolen .,Neutral
this is such a masterpiece️ all the emotions that you put in this song surely reached the listeners,Positive
this song really reminds me of ciandrei kyle from u-series. fly high my love <3,Positive
0:44 Don't waste your time on me You're already the voice inside my head,Negative
Omggg,Neutral
Hello idol! I hope this letter finds you well. I wanted to take a moment to express my sincere admiration and appreciation for your incredible talent as a singer and songwriter. Your music has touched my heart and soul in a way that is difficult to put into words.,Positive
"love this song. just so good to listen to.  ""i swear that every word you sing you wrote them for me""",Positive
......can I be her?,Neutral
This is gonna be my first dance at my wedding promise x ️,Positive
"There's so much emotion in his voice, it's beautiful ",Positive
can i be her..?,Neutral
james this is one of myfavorite song of all time!! thank you for the masterpiece  this song ever accompanied me thru long nights ,Neutral
"When I listen to this song, I wonder how many, think of the one who truly, is the right, person, who fits into your ",Positive
"This song never dies in my heart, i really feel how i being loved",Positive
"Every time I listen to this song, it brings tears to my eyes.",Neutral
why does all your song hurts me so much dude?,Positive
"Can I be him? Obviously not! you really love me you always tell. But I feel like I'm not the one you love. So I try to investigate to find the answer to all of my questions in my mind. I chose to say what if I'll stop courting you? And you answered ""it's up to me.If i want to stop courting you."" in just 3 days without communication. I found him to your story and finally! got the answered. I can't be him.",Positive
"Nunca voy a superar esta canción. La amo como el primer día en que la escuche!  Gracias James por el video, sos de otro mundo chabón!",Neutral
iloveyou shaaaaan ,Neutral
"Tell me why I wanna be loved properly ️, when ever I listen to his songs......",Positive
this song moved me a lot  ,Neutral
This song reminds me the (it’s start with us) book ,Neutral
Hands down one of the best songs ever!A masterpiece.,Positive
anyone 2025?,Neutral
"""Akala ko mahirap maging kaibigan mas mahirap palang maging kaibigan lang""",Neutral
I remember listened it on my way to go home when it all started and tell myself that m n love for the 1st time in my life ,Positive
Anyone 2025???,Neutral
"when I always listened to the line ""can I be him"" there's something that I feel kung Hindi siya bat d nalang aq ulet",Neutral
this song reminds me of him.,Neutral
September and cars outside still my favorites on my playlists,Neutral
Essa voz dele é maravilhosa ,Neutral
"cada vez que eu ouço uma música do james, é um paz imensa que sinto dentro de mim!!!",Neutral
"TO WHOEVER READING THIS, U DEFINITELY CAN DO IT. U ALREADY CAME THIS FAR, NO NEED TO BACK DOWN! I LOVE U SO DOES GOD️",Neutral
Can I be the one?,Neutral
This song feels like heaven but hurts like hell,Neutral
"Me encanta esta canción, transmite melancolía y alegría a la vez.",Neutral
31-12-2023 ney year,Neutral
I want you to have a concert in Indonesia james,Neutral
"Simplesmente perfeitaa sempre. o tempo passa mais a beleza dessa canção nunca cansa, é tão leve e suave com emoção e sensibilidade, um misto de sensações. Queria que todos pudessem sentir essa conexão incrivel que suas canções me trazem, Te Amo James você é uma preciosidade.  🇧🇷🇧🇷🇧🇷",Neutral
"u always be num one in my heart broo , trust mee",Neutral
Why I relate this song,Neutral
James Arthur faz com que eu solte cada lágrima presa nesses meus olhos tristes,Neutral
Não da p não sentir nada ouvindo. Ele expressa tanto sentimento cantando que não tem como não sentir.,Neutral
miss u :((,Negative
it really hurts when you know it cant be you and you have to watch the person that you love love someone else and just smle so no one worries but inside it hurts like hell and you wanna cry but cant it really hurts why cant i be him/her,Positive
i wish i deserve a man who can sing this song for me,Neutral
eu simplesmente amo essa musicaaaaaaaaaaa,Neutral
"1:23 relatable as shi, damn your music is just too perfect",Positive
James Arthur really make me cry ,Positive
Songs tells stories,Neutral
my favorite song,Positive
i miss her,Neutral
Tuwing napapakinggan q tong kantang to napapaisip aq sino kaya yung babae na gusto nya ngayon haysss:<,Neutral
"as músicas do James são perfeitas toca no coração, ñ é uma música é um sentimento",Neutral
O jeito que o James toca meu coração com seus músicas é diferente 🫠,Neutral
I always play this song in my every mood whether I’m happy or not. ,Positive
this song gets me every time,Neutral
This is song very sadness,Positive
can I be her,Neutral
"i miss you, sundae :((",Negative
"3:22 ""never""",Neutral
this song breaks my heart,Neutral
October 2024 still here,Neutral
please be him in the next chapter of my love story ,Positive
i miss u so much,Positive
"James Arthur I was always appreciate n realize that all song he can release,so verry all beautiful songs🫶",Positive
Belíssima voz.,Neutral
I’m leaving this message for the girl who broke my heart I thought i was the one I didn’t know about anything you broke my heart into pieces but thank you for making me happy for a couple of years and i hope you’re gonna be happy with him i hope he doesn’t hurts you,Positive
I'm still obsessed with this song ,Negative
Dont waste your time on me you're already the voice inside my head.,Negative
"I've been listening to this on repeat, just calmly hurt and thinking about the feeling of being loved that I have forgotten.",Positive
Still here,Neutral
James Arthur ️,Neutral
The most wonderful song I ever heard from James Arthur! It's an amazing feeling that gives this song Wonderful just wonderful,Positive
Anyone 2024?,Neutral
can i be her ? :),Positive
Mais uma música maravilhosa de um grande homem...,Neutral
This touched my hurt,Neutral
"When I listen to this song, I always cry",Neutral
"James Arthur, always a pleasure for ears and eyes. ",Neutral
"Affff, essa voz ",Neutral
Adoro como canta esta niño. ️,Neutral
"Linda, sempre venho pra ouvir.",Neutral
"i remember singing this song over and over again, and a couple of months have passed i am not holding his hands while listening to ""say you won't let go"", from ""can i be him"" to ""say you won't let go""",Neutral
*I met my boyfriens sept last year we both have the same past expirience. He sing this song for Me and this stucks on my mind. Up until now we are still kicking it. Ill be back again to this comment when we meet in person LDR sucks but i know we can do it ---,Neutral
I can never really be her...,Neutral
namiss ko tuloy siya hahahhaa.,Neutral
I don't know how I didn't know about this song. It's like this song is speaking for me.,Neutral
2024 any one?,Neutral
''can i be the one you talk about in all your stories'',Neutral
FAV SONG!!!,Neutral
The song never gets old,Neutral
Simplemente....perfecto,Neutral
Essa música é tão perfeitinhaa,Neutral
Memories ,Neutral
To that person...️️️,Neutral
"I listen to this song every day, to remind me that I should love who loves me and not whom I wanna love ,,,damn is there any thing called love realy",Positive
This song hits hard for me it reminds me of my ex girlfriend we  have been not together for 7 months now and doesnt go a day where i dont misss her just wish we was still together  another song that hits hard for me,Negative
"Today- June 29, 2024, 2 am,  I had the courage to let him go, because he is not mine after all. I hope she takes good care of him for I will never be her.",Positive
"Hello, JESUS lives and has everything you are looking for and always have Faith and Thank God for everything and He loves you very much and He is taking care of everything down to the smallest detail today and always ️ ",Neutral
"I have lived for years. Those years mean nothing while I have never reached out to her. Yet I'm still here..for the umpteenth time, facing this fear of the light. That I am afraid of hurting her otherwise I am afraid of losing her...",Negative
just a reminder.............. you're beautiful,Positive
Why these songs hit different when you are single ,Neutral
This is by far one of my favourites love this track you are a musical genius and your voice just wow so beautiful. ,Positive
i miss him ,Neutral
I leave this for my moment with him so I can hear this song again so I never forget about him ,Neutral
"hello guys, how are you all? I hope you are fine, I want to share a few stories about the love story that I experienced my lover left me for someone who is richer than me I really love him but he makes me hate him :) I hope your love story is okay guys love you all ️",Positive
Anyone 2025  love this music ,Positive
Me sé toda la letra! Me encanta esta canción desde que la escuché por primera vez!!!!,Neutral
youre song's became my medicine james.,Neutral
Anyone wishing to be him? ,Neutral
can I be herrrrr ,Neutral
This song hits hard to those who have a crush on a artist/celebrity.,Negative
I miss you ,Neutral
Amo você James Arthur ️,Neutral
James songs always go to my heart ️,Neutral
id love to say this song is mine but idk,Positive
James Arthur nunca erra,Neutral
