comment,sentiment
I don't think there's ever going to be a song by James Arthur that I don't love️️,Neutral
"“Oh darling, all of the city lights won’t shine as bright as your eyes.” That is adorable",Positive
"the emotion, the lyrics, the voice",Neutral
James Arthur don’t ever change,Neutral
I find myself crying every time I listen to this song. It goes deep into my soul. I feel like a wreck.,Neutral
"This song is for all the people who are in a long distance relationship, for all the people with demanding jobs that pulls them away for their lovers, and for all the people who are looking for someone to feel this much deeply about. Just a masterpiece ",Neutral
"""Oh darling, all of the city lights never shine as bright as your eyes""",Positive
"""Oh darling all of the city lights..."" ",Neutral
2:53  I just started crying after that part and the rest of the song this is so beautiful..  this is just adorable….,Positive
Bro I am literally crying. He used to say that this song reminds him of me. He is not with me anymore-,Negative
"As a person who is in a distance relationship ,i feel every word of this song. James never disappoints ️️",Neutral
"‪0:33‬  Every time I listen to this song, memories of that person come to mind and my tears start falling without me being able to control them. This is because the song carries a lot of meanings and feelings. It is not an ordinary song.",Neutral
"When he said, ""I'm tired of loving from afar,"" i felt that..",Neutral
"I'm single af but this song omg, I didn't cry but it makes me emotional everytime and even makes me feel like I'm the one in a relationship! This proves once again how much music can move us. I'm not usually an emotional person but with the right song and delivery, it hits deep. Not just about being emotional but the right songs help lift my mood when I had a bad day. MUSIC is one of the few things I'm grateful for in this world.",Neutral
"This song continues to get to me. I miss her i seriously miss her. Shes the reason I keep fighting, shes the reason i even tried again but when i lost her 3 yrs ago i love myself. Rest in piece my beautiful angel Amelia",Positive
"I haven't met her yet but if i do, this will be our song. I swear it.",Neutral
"I dedicate it to my first love, I hope someday in another life we would be together and closer, because in this life we are just strangers who pretend not to know each other.",Positive
Only James Arthur can take a sad heartbreak or feeling and make it sound so beautiful! ,Positive
its so cool when a james song starts trending bc its like its finally getting the recognition thats well overdue and only when its trending do people realise how good james’ music is but yk what he deserves he deserves to get recognition for everything he does. whether its all the sywlg stuff or the more rock/rap influenced stuff bc hes just so good at all of that but when people see ‘james arthur’ they just immediately think of the sad love songs bc they haven’t been shown any different. i don’t understand why when james songs keep trending people don’t go ‘ooh i should look into this singer further’ bc they really should - they don’t realise what they’re missing out on. HE NEEDS TO WIN A FUCKING BRIT AWARD HE NEEDS HIS SONGS (that aren’t rewrite the stars and sywlg) PLAYED ON THE RADIO,Neutral
"'oh darling,all of the city lights won't shine as bright as your eyes ' I think it's the best lyric ever ️‍",Positive
Anyone in 2025?,Neutral
"estou apaixonada nessa musica, e no 2:47 não paro de repetir",Neutral
Que Deus continue abençoando o seu caminho vencedor.,Neutral
Anymore  in December 2024?,Neutral
"James songs are like, the cure of my sadness, i don't have someone to share or sing those songs for, but i wish, one day i can be able to sing all of James songs to the love of my life",Positive
"As someone who's in a long distance relationship, this is a difficult song sometimes, hate leaving her everytime :((",Negative
Masterpiece ,Neutral
Im having relationship problems rn...and this song brings tears to my eyes... listening to this with headphones while it's raining is heaven,Neutral
2025 anyone?,Neutral
"essa me lembra ele. principalmente na parte ""2:45"". ele tem os olhos mais lindos que eu ja vi, aqueles olhos me transmitem paz, segurança, amor, e eles são um abismo puro, e o mais lindo que eu já pude ver na minha vida. eu o amo tanto que dói, nenhuma palavra consegue descrever o amor que eu sinto pelo meu menino, ele simplesmente é incrivel, sabe? ele não tem defeitos e é tão especial para mim. darei meu maximo para fazer dele o menino mais feliz do mundo, para sempre. pois ele merece tudo de bom, e mesmo eu não sendo o melhor, me esforço por ele e para ele. ",Neutral
James é surreal de talentoso! ,Positive
This song holds a special place in my heart. Glad it’s finally getting the attention it deserves,Positive
Como supero tu voz y esta canción️️🫶,Neutral
"James arthur, my comfort artist, the one who I can listen to whenever I feel down, the one who healed me when my grandma passed. oh I adore this man and his music so much. he helped me when I suffered, he helped me when I was at my lowest, he helped boost my confidence with his music. oh this man. he is one of the best artists I know right now who I've been listening to for 6 years. practically my whole life. My mom used to sing me his songs. that's why I adore him so much. I grew up listening to him. my favorite.",Positive
Been a James Arthur fan since 2018!!,Neutral
"eu não sabia que precisava ouvir essa música, até ouvir.",Neutral
"Beautiful voice, beautiful story telling , beautiful melody . Your voice is literally like velvet",Positive
I can't wait to hear this on the radio and remember the feeling of hearing it for the first time. It's so beautiful,Positive
She makes me feel some way I can't explain I hope we stay like this forever.,Neutral
Soy venezolana y no dejo de escuchar tu musicasaludod,Neutral
"James go in soo HAM on this, BANGER",Neutral
March 2024 🇧🇷.. wouuu ,Neutral
"How can a song as beautiful as this only have 22 million views? I don't understand, because this is not just a song, it's a feeling. The lyrics, the beautiful words of this song are so beautiful!",Positive
 amo está canción me transmite ese deseo de ver a alguien espero encontrarte ,Neutral
Anyone noticed he added all kinds of love in the background video! This song is beautiful,Positive
"This song expresses the pain of long distance relationships. Its so fricking hard, yet always worth it️",Neutral
"""dont wanna leave you anymore "", this part is my favvvvvv",Neutral
September 2024 ,Neutral
as luzes da cidade nunca vão brilhar tanto quanto seus olhos.,Neutral
Espetacular! James Arthur só compõe músicas perfeitas ️,Neutral
Someone in November 2024,Neutral
2024 algum brasileiro?,Neutral
""" oh darling, all of the city lights won't shine as bright as your eyes."" That is adorable",Positive
Happy to see this gem coming to light!,Positive
James Arthur's songs are literally the best..every song is a masterpiece ️️,Neutral
"the fact that the meaning of this song is about fighting his love even if it's so far, and fighting that urge and stay and experience the true love and left everything behind just to get that true love that he wants and determining to find a way to make their relationship work despite their physical distance huhu",Positive
Comin back for this song all the time ...its just an emotion,Neutral
I'm glad this song is getting the recognition it deserves :),Positive
"James arthur não é apenas um cantor , mas sim um sentimento ",Neutral
Que voz essa Brasil🇧🇷🇧🇷 perfeita amooo de mais,Neutral
Feliz por vários brasileiros conhecerem este cantor maravilhoso e desfrutar de suas belas músicas 🇧🇷,Neutral
September 2024 ️???,Neutral
