comment,sentiment
"The way he screams ""love me"" and ""give me love"" breaks my heart.. sadly there are really people out there, who feel like that..  sending love to everyone.. ♡",Positive
This was the song I was writing my suicide note to 3 years ago and all the emotions just came rushing back. I made it guys:),Positive
Ed Sheeran's old songs are being reborn in this quarantine time ,Neutral
"Ed should go back to this kind of music, so raw & pure",Neutral
"10 years later, I'm sitting in my room and suddenly i remember this song and it still gives me chills. Had to come watch it again",Neutral
When you are happy you enjoy the song.,Positive
Don't get me wrong I like perfect and idc but sometimes I miss this Ed with heartbreaking songs like give me love and a team.,Positive
"For the 2% who read this, I wish you for a total success in your next project",Neutral
"OMFG i love the message to this song. I also looooovvve how she tried to put the arrow through herself so she could finally receive love, but she didn't and thats why she died. But as soon as the guy (cop) came, he fell in love with her so the arrow disappeared. She finally received love <3 aw",Positive
Love is one of the most beautiful things one could feel.,Positive
"Ed Sheeran’s old music hits different! So nostalgic, so spiritual, so emotional. Just moving. ",Neutral
This song should have a billion views. So beautiful and yet so haunting. Ed Sheeran made a masterpiece,Positive
It's 2020 and this song still hits different.,Neutral
This song will forever be special,Positive
"Its January 2022, lets see how many legends are listening to this masterpiece",Positive
11 years later im back here in 2024,Neutral
When you're sad listen Ed,Negative
I will NEVER stop coming back to this song. Always one of my favorites made by Ed Sheeran.,Neutral
why does ed sheerans voice feel like home,Neutral
Los que venimos por Diario de Vampiros ,Neutral
“I happen to be miss mystic falls” -Caroline,Neutral
Here's what I interpreted from this video:,Neutral
"All I can hear is Caroline saying “Well, I’ve had some training, I happen to be Miss Mystic falls” ",Neutral
August 2025 anyone?,Neutral
This is definitely the most thought provoking of Ed's videos. She who helps others find love cannot find love herself and she ends up dying until someone can learn to love her as she is. Touching and one of the most beautiful song-video combos I've ever seen. This director is a genius.,Positive
This song goes out to all of the single matchmakers out there. You know who you are.,Neutral
"This is a beautiful video. Love can happen to anyone, and the most amazing thing is a that sometimes you won’t even know. ",Positive
"If you're listening to this in 2020, you have good taste on music.",Positive
I don't wanna sound cheesy but back on 2013 I was all alone and I used to lay on my bed and listen to this song. Couple months after that I fell on love with my friend and we just celebrated our 3 year anniversary,Neutral
His voice sounds like the voice of an angel,Neutral
"1:37 The big chills-part for me. It really echoes the feeling of my hearts desire, yearning for love, being filled up by love, passion - while lacking it.",Positive
Ed Sheeran is the kind of talent that you only see maybe once in a generation.,Positive
"If you're listening to this in 2021, you have good taste in music.",Positive
the way he screams ‘love me’ towards the end is so haunting yet so beautiful and powerful. ,Positive
I don't know why I ever stopped listening to his music. I missed this feeling ,Neutral
"“You look stunning, if it isn’t obvious”",Positive
Unpopular fact: This is Ed Sheeran's best song,Positive
A moment of silence for the people who can’t find this song.,Neutral
"god i wish he kept the screams ""love me"" ""give me love"" in his live performances, it's my fav part.",Positive
"Whenever I'm sad, I always go back to this song. It gives me comfort just like how the pouring rain does to me. ️",Negative
Anyone in 2025?,Neutral
4 years has been passed and still no sign of love for me XD,Positive
I will never forget that i was listening to this song when i was depressed and thinking to commit suicide. It’s been 6 years and i’m just thinking how many incredibles memories and life opportunities i would have missed.Stay strong everything will be alright,Positive
Honestly this is simply one of the most beautiful videos that he’s made,Positive
"7 years later, if you're watching this you're a legend.",Neutral
Who's watching 2024?,Neutral
Still one of my favorite Ed Sheehan songs . Just all the emotions.,Positive
It’s 2023 and this song still sends chills down my spine,Neutral
"This song makes me emotional , anyone else? ",Neutral
Anyone in 2025,Neutral
This song is so nostalgic to me ️ I used to see this video so many times  ️,Neutral
