comment,sentiment
Way to 1B views!!,Neutral
"november 2021, still timeless. what a legendary track!",Positive
Why do old songs bring back memories you couldn’t remember,Neutral
"My best friend made me love this song, I miss him so much.. Continue to rest in peace Dejpel️️",Positive
- no boyfriend,Neutral
"If you read this, that mean this song never get old.",Neutral
Can’t believe that it’s been 10 years since this song was released,Neutral
Never tried of listening to Bruno Mars my favorite artist. Love his voice and how he performs.️,Positive
Great things don’t die. Thats why this songs still alive.,Positive
"This song hits diffrent when you are not anymore a child, and you don't just sing a song....you feel the song......",Neutral
This was my favorite song at 6 years old and I didn’t understand how depressing this song was,Neutral
"This message is for my older sister Marta, she made me listen to this when I was so young. Today I'm 22 years old and I'm still here, I love you sister.",Positive
7 years (almost) since this song has been released and it's still my favorite,Positive
I remember singing this when I was 13 . Man those lyrics are deep. Deeper than the Pacific ocean.,Neutral
"Can’t believe this song was made 10 years ago, feels like it was yesterday",Neutral
"It's not worth it to love someone like this. There's no point in hurting ourselves for other people, especially people who don't do the bare minimum to show you love. You don't have to earn love, you're worthy of it simply because you exist. You're special to God and your life has great value to Him",Positive
Anyone just miss the old days. When everything was simpler and happier.,Neutral
who else is just randomly listening to old music,Negative
Still a pretty good song even after so many years,Positive
When i was 6 years old taking the bus to school vibing to this song i thought it was the coolest. Now i understand the lyrics an realize how relatable this is to alot of people. Hurts going through it an than watching people you know or love go through the exact same. Crazy how life works,Neutral
Ten years and still it a killer song. That’s talent right there.,Neutral
"It's crazy how we are listening to these songs again as different people ,",Negative
It's been 12 years and the song is still alive and still is unforgettable.,Positive
I can assure you. I travel back in time listening to old music. This song is one of them.,Neutral
It’s a crime that this song is not 1B views.,Neutral
"its crazy how the older we get, the more this song becomes relatable",Neutral
This song is made 10 years ago,Neutral
Happy 15 years!!!!,Positive
Almost 1B!!!,Neutral
2024 and this song is still an all-time favorite,Positive
Bruno is the lost and found art for music. Every song of his get to you.,Neutral
Why can’t we just go back to these days. The good ol days,Positive
11 years ago I’m still loving all his songs. He is my inspiration.,Positive
I cant believe this song is almost 10 years old. The NOSTALGIA :(,Negative
I cannot even imagine anyone more powerful as a duet. These two are breathtaking and the absolute best!,Positive
Almost 11 years later,Neutral
"If you’re here, congratulations you’ve had an epic childhood",Neutral
"Still hits hard, even after all this time.",Negative
I missed this era  so much memories of my childhood ,Positive
11Years passed but this is still masterpiece.Never get bored of this song.,Negative
Still a classic in 2023. Thank you Bruno Mars!,Positive
"Yes , I'm listening to this song in 2020. ",Neutral
"To the one who never left , old souls keeping this alive.. Welcome back.",Positive
It's been 10 years but I still feel sad when seeing him drag back the piano.,Neutral
Why does this song hit like this now? Listening to it now is like im hearing it afresh,Neutral
This song is a masterpiece and will never get old,Neutral
TODAYS BANDLE  ,Neutral
"It really doesn’t matter if you’re a fan of Bruno or not, this song is legendary.",Positive
7 years later and this song still amazing #Timeless,Positive
"Doing a Bruno Mars marathon cause, why not? Who's with me?",Neutral
September 2025 who’s here,Neutral
11 years later and it still hits in the feels,Neutral
bruno mars never made a bad song. he's such a legend!,Negative
2022 and this song still hits the same as it did 11yrs ago,Neutral
I just woke up and this is my alarm ️,Neutral
"This song has no age, no matter how many times you listen to it, it still feels fresh",Positive
It is so painful to love everyone in your life like this and never have anyone that would reciprocate.  It has to be the most lonely and rejected feeling anyone could ever feel.  I know it is.,Neutral
There is nothing  Odd ,Neutral
My Kid self never realized how deep this song was.,Neutral
"You know the song is good when more than ten years later, people are still coming back!!!",Positive
Almost 8 years and i can still feel the pain in the song. ,Neutral
This still gives me Goosebumps 14 years later ,Neutral
I still love this song. I used to listen to it as a kid and I can't stop listening to it every now and then.,Positive
,Neutral
I love this song and uptown funk,Positive
this song never gets old,Neutral
"After 10 years, this song is about reaching 1Billion Views",Neutral
Such a weird feeling when you've been together with someone so long and you actually hold them in your heart but then they...just become someone else. What to feel? Anger? Sadness? fuck.,Negative
"This song is timeless, it will never age ",Neutral
,Neutral
It’s crazy how after 10 years this song has finally got 1 billion views,Negative
The worst feeling isn’t being lonely. It’s being forgotten by someone you could never forget.,Negative
This song will never get old no matter how manny times I listen to it I still vibr,Neutral
I love Bruno Mars 🇻🇪 Gracias por tu música,Positive
"I kinda wish Bruno would return to this type of music. Honestly I like his older music then I do to his current. Not saying that his new music is bad, it's just that he's changed over the years. His music was so good back then, a shame his music has evolved this way.",Neutral
Hits different when you understand English 10 years later,Neutral
Fun fact : Simon Cowell hates when contestants audition with this song. ,Positive
who came here by seeing the similarity between this song and i aint worried,Neutral
When the comment section is still alive after 10 years you know that the song is good ,Positive
