comment,sentiment
"I love the direction Charlie Puth is headed, I love the funky bass lines and its vibe.",Positive
no naked girls ,Neutral
"As a child of the 80s, I love how he has captured so much of what 80s pop music was about.  I may be old enough to be his mum, but I’m a huge fan.",Positive
"Even after 7 years, this song still gets me",Neutral
0% bad words,Negative
I love the Bass lines in Charlie's songs. The production and arrangement complement his voice perfectly.,Positive
This guy brought back classic  music,Neutral
"I finally found this song after approximately 7 years of the melody being stuck in my head. This is an absolute piece of art, and hopefully more people see it",Neutral
His voice when he says baby,Neutral
Charlie : starts flying in the air,Neutral
"It's been 5 yrs , & still this gave us Goosebumps ",Neutral
"I am NOT a songwriter by any stretch and I know I'm like  8 years too late, but let's just appreciate what he's doing here. The verses are the guy's perspective -- he's cheated and been caught so now he's trying all the typical lines (Ok, I was wrong but can't you blame my head and not my heart, I didn't mean to hurt you, there were no feelings for this other girl involved I promise). The pre-chorus poses the question: was his cheating real or just for show; that's the bridge in between HIS perspective and HER perspective. It's question she's asking but he's hoping he can convince her to take him back, that it didn't mean anything. But then the chorus shows up and it's all her perspective: you've been creeping around on me while calling me baby. She's accusing him of being two-faced (which we already know from his perspective in the verses that he is!). SUPER well written song with a fun, unique perspective on storytelling. And that's not even touching the fact that the music and melody is epically catchy.",Neutral
"Even after 5 years, this song is still such a vibe <3",Positive
"Even after 4 years this song is still in my mind and can't stop dancing when it's on,thx Charlie",Neutral
5 yrs later and I'm still not bored listening to this,Neutral
Anyone listening in October 2025?,Neutral
"This Song Will Never Die, 6 Years Later And Is Still A Hit!",Neutral
Alright,Neutral
80% of comments are about his dance moves,Neutral
"October 1, 2025 I'm still listening to this gem ",Neutral
Selena: We don’t talk anymore ,Neutral
Anybody in 2025 ?,Neutral
Still listening JUNE 2021 hmm. coz can't get over on this master piece.,Neutral
LYRICS..........,Neutral
His dance moves are so cute I love them,Positive
No one ask but this still my favorite song of Charlie Puth.,Positive
When I hear this song it just puts me in a relaxed mood. Light rock easy listening.,Positive
"I miss the time when this song came out, life was so much better",Positive
Thanks for this charlie,Positive
"It's 2022, and still listening to this song Charlie Puth knows how to make a masterpiece ",Neutral
I love you Charlie. Please never change your way of being,Positive
チャーリー・プースの曲の中で１番好き,Neutral
Its 2019 and this song is still in my head!!,Neutral
"Best dance in the world ,by one of the most innocent singer",Positive
