comment,sentiment
"I lost my 23yr old daughter to Covid on Mother’s Day and this was one of her favorite songs! It’s amazing how music is therapy for the soul. I can play this song and hear my daughter’s voice singing it. La’Dasia since you’ve been gone it’s been nothing but rainy days. You were the light of my world and every day I wake up is hard knowing that you’re not here with me anymore. You were more than my daughter, you were my best friend!! And until we meet again my sweet baby girl…rest on. I’ll love you for eternity ️️️",Positive
"If you're listening till this day, Then you miss the emotional Bruno Mars.",Neutral
"i know people change and evolve, but i kinda miss this old Bruno Mars.",Neutral
Anyone in September 2025?,Neutral
"Who here November 2020, Bruno has songs like this that’ll never get old",Neutral
Haven't heard this song in like 8 years. Now I can't resist singing along!,Neutral
This song will never be forgotten. I always come back to listen to this amazing song ,Positive
brooo no one understands how unbelievably good this song is. He captured love and pain in the most perfect way. Good job Bruno almost 14 years later this still sounds brand new. One of my favourite songs ever and the best in the world,Positive
He doesn’t need a broken heart to make music like this. He can make music like this from falling in love. No one deserves heart breaks.,Neutral
"no matter how much time passes, this song will always be a masterpiece",Positive
The fact that there are still comments from minutes ago is so heartwarming,Neutral
"13 years later and I still get chills every time I hear this melody. This song, lyrics and music (especially the 1:23 part) are true masterpiece.",Neutral
can someone break bruno mars heart again,Neutral
Your a legend if your listening to this song In 2021,Neutral
I miss the “sad and in love” Bruno Mars,Neutral
"With his incredible vocal range and charismatic stage presence, Bruno Mars consistently delivers performances that leave a lasting impression. His music is always full of energy and emotion, making it easy for listeners to connect",Positive
"13 year later, still love Bruno. Dude just writes hit after hit.",Positive
"“cause there’ll be no sunlight, if i lose you baby..” damn bruno speaking facts",Neutral
"My daughter Meagan just passed away on 5-30-20 & she always loved listening to Bruno Mars. So now when I come to visit her, I try and play some for her.. Miss her so much.",Positive
When his songs have some sort of effect that is just unreal.,Neutral
Let’s be real here. This is honestly his most underrated song. Either this or Talking to the Moon.,Positive
"12 years later, If you're still watching this you're a legend.",Neutral
"This song speaks to my heart. This is exactly how I feel since my husband died. He was my best friend, my partner in life, my rock, the love of my life. We spent 20 years together  and it's been a hard adjustment.",Positive
All time favorite song to listen to.  Just the acoustics the beats everything fits so well together. I miss the old Bruno hopefully one day we will get to experience that again.,Positive
This song used to be on the radio every damn day. Those were the days,Neutral
I’m not depressed ,Neutral
"All his songs are still golden, like if your listening to this in December of 2020 ",Positive
Thi's Bruno Mars people,Neutral
"His song don’t feel the same like they did when I was younger, now they feel so deep, painful, so surreal. You relate to his pain. You feel all his emotions. You feel your heart get heavy because you know what growing up sucks. :/",Neutral
"""But they're just afraid of something they can't understand..."" That line just gets me. Every time.",Negative
This song came out 6 years ago I was 16 now I'm 70 I'm so old,Neutral
a gente ainda se encontra em um dia qualquer… ,Neutral
"he should make more sad songs like this , i miss them ",Neutral
I've always loved the way Bruno's hair looks...so perfect,Positive
Dude was actually the best artist of my generation. No competition,Positive
This will always be my fav Bruno Mars song  It's just so amazingly beautiful ,Positive
This song is awesome! Who's still listening 2019?,Positive
Crazy how many people comes back and listen to this song.,Neutral
"I am a 65  year old  Grandmother of three! And I am proud to be this Angel  number 1 Fan!  Saw him twice in Concert, memories I will never forget!  I  will always be a Holligans!",Positive
"Everyone dreams of having a romance, so good and that it makes you feel good... that you hear Bruno's sounds when you're with that person!?",Positive
Almost 10 years old wow,Neutral
I miss his old songs... these were better because they had more feeling and meaning behind them.,Neutral
"""I'll pick up these broken pieces 'til I'm bleeding, If that'll make it right""",Neutral
Eu sempre sempre vou amar essa música ...,Neutral
"I just realize that this isn't a sad song. It's for someone we can't live without, beautiful.",Neutral
I wonder why Bruno is the only artist i never get tired of after all these years...,Negative
"Still this song will never get old for me, who agrees",Neutral
O toque dessa música é muito bom,Neutral
Bruno has the most beautiful eyes and smile I have ever seen in my life,Positive
"this song is like wine, the more it ages the more it becomes soothing and nice. I think.",Positive
who else here just misses the sad hurtful songs bruno has before like this one?,Negative
How deep this song feels ️Masterpiece ,Neutral
this song is so sad but so good at the same time,Neutral
You know your a good singer when each  song you wrote 10 years ago still has comments flowing through,Positive
It's crazy how we are listening to these songs again as different people.,Negative
"Gosh, I love this song so much… y’all don’t understand. Every time I hear It Will Rain by Bruno Mars, it hits me so deep. This song always brings back memories of my best friend from elementary school. I miss you more than I can explain. I never meant to end our friendship I didn’t. I hope life is treating you kindly, and I wish nothing but happiness for you and your new family. We used to sing this song together all the time… and now, every time it plays, I can’t help but think of you. I miss those moments. I miss you.",Positive
this song hits different when you haven’t listened to it since years.,Neutral
This man right here is a genius. ,Positive
"When i was a kid, I used to hear this song just for vibin but now i use this for a broken heart of mine",Negative
Reading the comments with this music on just hits different,Neutral
my worst regret is listening to this after a break up worse mistake :((,Negative
"Don’t worry, you’re not the only one back for this masterpiece",Neutral
I had no business being worried about love back in 2011.. but he hit me right where it hurts with this one grasps chest,Positive
Never gets old. Anyone listening in 2018?,Neutral
"If Bruno, released his songs in this era, each song of his must-have crossed Billion mark.",Neutral
"""I always like walking in the rain, so no one can see me crying.""",Negative
Bruno mars has the most beautiful & perfect voice among all the singers!,Positive
I was 11 when i heard this and sang this song Passionately ,Neutral
This hits different when you’re all grown up and actually understand the words.,Neutral
this song is so beautiful,Positive
"I used to sing this to my husband, and then some time after this song came out he passed away. I haven’t listened to It since then... crying as I write this. ",Negative
this song means so much more when you know what heartbreak feels like,Positive
I refuse to believe that this song is turning 10 years old.,Neutral
2025 e ainda é umas das minhas músicas preferidas ,Neutral
I can’t believe he hasn’t made a song in a year ,Neutral
It's been almost 8 years.. But still so refreshing.. Cause it is raining..,Positive
I'm honestly surprised how this hasn't hit 1B views yet,Neutral
"i’ll pick up these broken pieces till i’m bleeding  when this came out in 2011 I was still in the 8th grade, I don’t know why I was always such a hopeless romantic even at that young age. I liked the same girl from 7th grade all the way until 10th and the feelings were never reciprocated but she always kept in touch, i’m guessing it was just pity on her end but for me any communication with her would be enough for me. I spent so many nights absolutely gutted listening to this song, just submerged in sadness… good times. I’m 27 now and this song just makes me think back and smile. ",Neutral
"I miss when I was a kid and we didn't even pay attention to lyrics, we just sang and had a good time",Positive
Wish I had a guy who loved me like this. My ex dumped me when I was diagnosed with fibromyalgia. The physical and emotional pain is too much. Send me prayers please ,Positive
"This song just is, and always will be a masterpiece.",Neutral
i love bruno mars,Positive
"Bruninhoooo, você é perfeito, se passaram 11 anos dessa musica, ainda escuto chorandoooooo, linda d+ ",Neutral
9 years and yet it's still a masterpiece.,Neutral
I used to listen to this song everyday in hs. My mom would drive me to school everyday. She worked so hard for me. Sacrificed everything. She thought Bruno Mars was neat. She loved his voice. I always wonder is she proud of me - regardless. I know 100% she loved me. And I love her. Make sure you guys cherish your friends and family/settle any arguments before...before its late.,Positive
Just like the sunlight ,Neutral
He’s not the Michael jackson of our generation he’s the first Bruno Mars,Positive
romantic bruno mars was the best bruno mars. change my mind,Positive
My Favorite Bruno Mars,Positive
I seriously miss this Bruno Mars. I remember i used to like him so much back in the days,Neutral
I LOVE THIS SONG! SOMETIMES WHEN I HEAR THIS SONG I CRY TOO MUCH,Positive
This song gets me in my feels,Neutral
Young bruno is another level ,Neutral
I love the way Bruno Mars sings. I love his style. It makes me think about back in the day when songs were songs,Positive
"It’s April and whoever reading this ,you’ll be healed soon from wtv you goin threw. sorry for that y’all I’m a lil",Negative
Can we all agree that all his songs are good,Positive
This man is so beautiful! ,Positive
"7 years later and I still can’t decide what this song is in general a love song, pre-break up song, or both.",Neutral
"Old Bruno is very very missed, i hope he’s make This type of songs again",Neutral
Ouvindo essa pedrada e sofrendo pq  não vou pro show em outubro  mais alguém está assim em 2024??,Neutral
My favorite song,Positive
"I kinda miss the old Bruno Mars, music that digs deep into the heart and soul.",Neutral
still listening? Love it <3,Positive
"After almost 10 years, here i am again... this is a masterpiece",Neutral
love song,Positive
"This song brings back memories from my childhood, when I was much happier. Music is all I have to connect me back to those better days. Love this song, Bruno's awesome  ",Positive
This song hits different when you feel it.,Neutral
"I think bruno mars is the most talented artist alive right now. However, his songs have somehow drifted from sincere love songs to songs about money and greed. His old style of music, in my opinion, is more reflective of his exceptional talent. ",Positive
Such a beautiful voice.,Positive
1 - It Will Rain,Neutral
This song never gets old.,Neutral
I was 10 now Im 20 about to be 21 In  18 days .. this song makes my eyes rain ,Neutral
Beautiful,Positive
