comment,sentiment
"LETS be honest this wasnt reccomended, this randomly crossed our minds !!!",Neutral
"My mom and dad would sing this song together while my dad's playing his guitar everynight at our backyard. But now, after after my mom's death it really breaks my heart hearing and seeing my dad singing it alone everynight",Positive
I personally think this is one of the most beautiful songs Bruno Mars have ever made... I love this song! ,Positive
Hey Stranger!,Neutral
I’m legit binge watching all his old videos and I legit wanna cry,Neutral
"If you ever feel bad about yourself. Remember, someone out there thinks you're amazing just the way you are",Neutral
Anyone in September 2025,Neutral
"This song is literally like a wine, it continously gets better when its getting older.",Positive
Who else is watching this because this song makes them feel good ,Positive
"It's crazy how we are listening to these songs again as different people ,",Negative
"In case you need this today, You matter, You are enough, and You are worth everything!",Neutral
This song hits different when you single,Neutral
12 years later this song is still as good as ever!,Positive
My mom used to sing this to me when I said I hated myself. Now she’s passed away and every time I feel insecure I play this song in her memory,Negative
I personally think this is one of the most beautiful songs Bruno Mars have ever made. This is my favorite one.,Positive
100% good music,Positive
I heared this as a kid an my nostalgia level is dangerously high,Neutral
Don't know why but I had tears when I was listening to this song.,Neutral
"Dear Bruno Mars, I would like to express profound gratitude for making this song and for helping people who feel insecure! It feels like if you are singing that song to each one of us.",Negative
I can't believe this song was made 2010...  it has been a long time but the song still sings in my head for 10 years !!!,Neutral
The song takes me back some memories,Neutral
We need to keep this song going for generations to remind everyone that they are who they are and beautiful individuals no matter what people may say about them ,Positive
If anybody is in love or wants to be in love .. this is best expression you can put forward .. very very best of Bruno Mars . ..,Positive
8 years later and still can’t stop thinking about this song️️️️️️️️️,Neutral
"Not only the song is amazing, the music video itself is very creative. Love the way they made the images of the films on the table come alive",Positive
This song just rocks and I'll never get sick of it!!!!!,Negative
何度見てもこの2人最高だな。,Neutral
"Wow, it’s hard to believe this will be 10 years old. Like this was my childhood",Neutral
That is my favorite song ever.,Positive
12 years later this song is still as good every,Positive
15 years ago and the presentation of this song uff man oh man  that reel tape on the table ufff,Neutral
//Did any one else randomly remember this and come back?,Negative
This is the kinda Bruno I love and want back,Positive
"Nothing feels better than listening to old songs, brings back old memories,who is here in  2020??",Neutral
"The atmosphere here is beautiful. Wishing you balance, harmony, and joy in your journey.",Positive
"I can't believe this song is 10 years old... I remember blasting this in like 3rd grade, where did time go?",Neutral
"Nostalgia is what brought us back here. And if you’re here now, you have great taste in music.",Positive
12 years later... still hits,Neutral
"This brings tears to my eyes. There’s been so much hate amongst everyone and this just feels good. Love feels goodI love anyone who’s reading this, keep going, it gets better, the world needs you🥹",Positive
This song makes me feel better. ,Positive
Can't stop listening to this song. Anyone 2019? ,Neutral
how many legends are listening this masterpiece on 2020,Positive
I'm  Filipino works here in Taiwan.  I can't think of any other word to describe him.....He's a LEGEND indeed,Neutral
My favorite Bruno Mars song,Positive
2013: listening to it with my best friend,Positive
Happy Valentines to all those who feel unloved. You are perfect the way you are.,Positive
One of my favorite songs,Positive
Nostalgia’s the worst and yet the best  feeling at the same time.,Neutral
"""If perfect's what you're searchin' for, then just stay the same""",Positive
It is 2019 and I am listen  to it to . Best song ever,Positive
見てるだけでハッピーになるMVだな朝からありがとう,Neutral
His old music.,Neutral
"No matter how many years pass, this song will stay in our hearts forever!",Positive
It's a masterpiece that reminds me of my childhood. I used to listen to this song a lot when I was young. It's amazing that it's been 12 years since it was written. It's a magical song that makes me reminisce about my childhood.,Positive
The best dedication song i ever received i ve never hated this song I listened to it everyday,Positive
