comment,sentiment
"I created the concept for this music video based on an idea I had and shared with the incredible director, Christian Breslauer. I wanted to humorously portray all the things we sometimes try to change about ourselves in order to capture that unrequited love, when deep down we should be changing our lives only to benefit ourselves and no one else.",Positive
"So many great references! Flashdance, The Darkness, Rocky, Karate Kid ",Positive
[Intro],Neutral
The time has come and the wait was worth the time!! ,Positive
such a good song,Positive
This song is SO catchy.,Neutral
Bruh .... this my shit .... I've been bumping this ..... love this joint ....,Neutral
This song is going to be billboard top 10..,Positive
The moment has finally arrived ,Neutral
"I'm so inspired by his abilities. Not just singing, he's great at playing piano, music producing, and endless creativity. Not many pop artists can do these.",Neutral
The fact that this song is 3 years old makes me feel old,Neutral
I've been waiting for this for too long!! And it's finally here!! ,Neutral
It's here. It's here. Thank you Charlie,Neutral
This guy just keeps on coming up with hits after hits. He’s got to be one of if not the best pop artist rn.,Positive
Anyone September 2025 ?,Neutral
I remember your tiktok about what if i do that... ,Neutral
This song is like fresh air. I love it. <3,Positive
Finally! Never been so connected to a song way before it's even released. ,Neutral
Anyone in 2025 September???,Neutral
I was smiling throughout the video ! Fuck what a Video !! What a Song ,Negative
Been waiting for this so long! ️️,Neutral
Props to the people who worked on this music video you did a amazing job.,Positive
"“Why you always wanna act like lovers, but you never wanna be each others” hurts so bad",Negative
I love how his music videos are just so playful and fun ️ can’t wait for the album ,Positive
Getting extra dose of positive vibes from this song just when you needed it the most.,Positive
The moment we’ve been waiting for ,Neutral
Okay...... but why is no one talking about how this features Billy Blanks!? Genius! ,Positive
CANT STOP LISTENING,Neutral
THIS NEW MUSIC MAKES ME FEEL THINGS..CHARLIE NEVER DISAPPOINTS,Neutral
Waiting for this song was so worth it. Literally on repeat all night and all morning so far.,Positive
3yrs…? Bro time really does fly ,Positive
"I've loved Charlie's songs since I was 10, and I still like his musical style.",Positive
Popular opinion: This song is definitely a MASTERPIECE,Positive
I put this into my playlist before I even listened to the finished song. Been waiting for months. And it didn’t disappoint.,Neutral
This is song still turns me on like a light switch. ,Positive
I am so attached to this song just because I could see the journey behind this one. How it converted from a sound of a light switch to an awesome song,Positive
I am just gonna say that,Neutral
"The Song, the melodies , the plot twist at the end and everything about this song is just perfect. What a way to kick 2022 (kinda) with an amazing song! ",Positive
I remember this I miss this Charlie puth,Neutral
"Moral of the story: The right people will love you for who you are. You can't force people to love you. You should only change yourself for yourself, not anybody else.",Positive
This is such a masterpiece ...those transition beat before the chorus got me freakin jump everytime i listen to it,Neutral
"I have been waiting literally SO LONG for this song and screamed when I realized it was out. This song is literally going to be on repeat on my Spotify for like the next week, it’s THAT good.",Positive
coming back here because of short I saw how creative the song create like Justin Bieber uses his vocal as musical instrument ,Neutral
"Bring the change in you for yourself, not for others. Great message from the song",Positive
I loved the creation of this song and everything that's come with it. I really love the video I wasn't expecting the ending but Charlie keeps us on our toes.,Positive
the most awaited song,Positive
The wait was worth it!! ,Positive
This song is stupidity addictive I can't stop replaying it ,Negative
the ending omg hahaha,Positive
1:05 the best,Positive
This song will definitely gonna be on repeat ! I have been waiting for this song so long!! Masterpiece!,Neutral
Great message behind the music! Never change yourself for anyone if they don’t love you for who you are it is not meant to be!,Positive
I think we can ALL agree this was worth the wait ,Positive
This song completely changed my physic thank you Charlie,Neutral
"I’ve been listening to this for a day straight, it never gets old.",Neutral
"Living in an age where most of the songs just kept getting shorter yet felt longer for whatever reason, this one is 3 minutes long yet feels like 50 seconds and makes me wanna hit replay over and over again",Positive
THE ENDING HAD MY JAW DROPPED,Neutral
This song is so nostalgic love it,Neutral
"Loved the message of the video - Sometimes no matter how hard you try, it's not YOU the other person wants!",Neutral
"After listening to this song, I can honestly say that this is Charlie’s best works. The retro vibe is so perfect for this vid. Great job Charlie Puth!",Positive
Great music! This is all I'm listening to right now!,Positive
I literally listen 100 times in a day ,Neutral
This song gives me so much energy. Thanks Charlie and the Team for making such a wonderful music video!,Positive
The time has finally come to take action.,Neutral
Never thought this song would be so relatable ,Neutral
On behalf of all my light switch community i thank Charlie Puth for making a song on us and giving us popularity. As a sign of gratitude I promise to keep turning everyone on with this song.,Positive
"I ABSOLUTELY LOVE THIS VIDEO! The humor, the obscene theme of Charlie's work out training, the painting of the fence, the ""SORRY"" performance, the anticipation of the song itself and how spectacular it is--it is truly amazing! Thank you, Charlie!",Positive
"This may never get the flare that used to be of ""Attention"", but as time goes by comes with better quality from this man's music. Thanks Charlie for still being active out there !",Neutral
great song to get fit,Positive
The most anticipated song I've ever wanted to listen so much .... Can't wait for the album ,Positive
This is going to blow charts ,Neutral
"#7 trending in the philippines, keep streaming gaiz <3",Positive
my fav song....I love you more than anything else ever,Positive
Genius. Absolutely deserves to be on the Billboard,Positive
"So proud of you, Charlie. You don't know how much I missed you. This is the guy I grew up with and listening to new songs makes me so happy. Hope you never stop, we love you.",Positive
"Only Charlie Puth could make a song about emotional whiplash sound this fun. It’s chaotic, catchy, and absolutely genius.",Neutral
"Genius! The lyrics and video are absolutely genius! Charlie, you are a musical mastermind. I love your stuff and I am addicted to this song! Fantastic!",Neutral
"I have no words to describe how good the song is . It's a banger , mood elevator and one of the best hits of Charlie Puth .",Positive
Fact: Charlie Puth is making everyone's day so much better with his songs,Positive
Bro THIS SONG ROCKS!!,Neutral
I’m so obsessed with his music this man cannot make a bad song,Negative
Bro explained by whole quarantine  in just  3 min except the relationship part,Positive
"The fact that he produce his own music,  writes his own song..  What a blessing to have a guy like Charlie..  Pure talent.. ",Positive
This song..so many my memory with my big brother.....im cry now...,Positive
This Was Sick!,Negative
This song will definitely be on repeat. I can already see myself listening to it 24/7.,Neutral
Charlie Puth makes good music every year. This song should be played on the radio more often,Positive
"I know this is three years old, but it's stuck in my head, and I LOVE IT!!  I love the video too.  Makes me get up and MOVE!!",Positive
He never disappoints me with his music <3,Positive
Charlie is such a talented musician. A genius artist with a passion for music. Very cool he can write and produce songs all by himself. Light switch gonna be on top of the charts in 2022.,Positive
The world really needed to hear this masterpiece of a song. Charlie Puth never disappoints. He can never make bad music,Negative
ONE OF THE BEST SONGS OF THE DECADE,Positive
"I love this song, from the melody to the lyrics, everything is perfect. Honestly, I'm under a lot of pressure but the song makes me happier. So thanks to Charlie Puth for bringing this great song, hope Light switch hits the charts high and everyone enjoys it. This song came out at 00:00 am Friday, due to the time difference, a great way to start my day. I love you",Positive
Im glad it didn’t disappoint any of us lol the wait was definitely worth it! This is so catchy and good ️,Positive
"This deserves a 100 million views, I wasn’t really excited for light switch and now after hearing the whole song I would have to say…it is really good. Keep up the good work!!",Positive
It's still so amazing after 3 years i literally like this so much,Positive
"this was DEFINITELY worth the 5 month wait. I’ve never been so invested in a song in all my life, now that I’m listening to the final product it’s all just so worth it!! Congrats Charlie! Once again you did a phenomenal job. ️",Positive
Great song!!,Positive
"This guy has the whole art of songwriting figured out. He knew months in advance that this song was going to be a hit. Props to you Charlie, great song.",Positive
This song hits,Neutral
"BILLY BLANKS! I love the 90's, and this song! Thanks Charlie, this is a certified Tae Bo banger!",Positive
This music video deserves more attention. Can we also appreciate the fact that Billy Blanks is in it?,Positive
"Never have I waited that long for a pop song to be released before. The year's just starting, but I feel this one's gonna hit it BIG!! That's how great I think this song is. Have a wonderful day, everyone!! ",Positive
"This is my 2021 song, good times",Positive
"This video is sooo fun. I genuinely enjoyed every frame. Plus the song is perfect, we waited for it for a while, but it was def worth it. Can't wait to hear the album, Charlie is a music genius!",Positive
It feels really good to see the progress of something from a scratch to success! Congratulations Charlie!!! I'm in awe ️ love this song so much!,Positive
"LOVE LOVE LOVE IT! Great production, vocals and video concept!",Positive
We need an extended version!!!! ,Neutral
"To the fact that this started as just a random thought, a random sound then turned to this blows me away. This man is a truly talented artist, who exactly knows what his audience wants/relates to, all while maintaining himself as a person 100%. Love it. Keep up the work, Charlie. Can't wait for your other singles, then album. ",Neutral
I'm playing this on repeat! Charlie never disappoints!,Neutral
This song also goes out for people who struggles with their inner battles; love yourself. You can do it.,Positive
Anyone oct 2025,Neutral
Never have I ever waited for a music video to release like I've waited for this one.,Neutral
Totally deserves the hype its getting..can't wait for the full album,Neutral
The world really needed this song. This is truly a masterpiece. Charlie can never make bad music,Negative
good song still to this day. it slaps even in 2025 ,Positive
I’m just baffled by his talent…Always out here releasing bangers! Definitely gonna be streaming this nonstop!,Neutral
Artistes now are doing everyone a favor by taking a lot of inspiration from the 80's. Keep it coming.,Neutral
"I ALREADY GOT A FELLING THAT THIS SONG IS NEVER GONNA GET OLD , IT'S FINALLY HERE LESGOOOO",Neutral
Crazy this was made in 2022. Gives me nostalgia...,Negative
The song that was created infront of ourselves and its already a masterpiece.,Neutral
it’s so amazing how a small tiktok experiment turned into a whole song. you’re crazy talented charlie!!,Neutral
THIS IS HILARIOUS!!!  2:53,Positive
I’ve never been so excited for a song before. I watched the steps of you “creating” this song :) you did a great job,Positive
Charlie Puth’s Music Is Exactly What The World Needs More Of! ,Positive
FINALLY a song that i can sing along to during a premiere! we've waited for Charlie to turn on our Light Switch for ages!,Positive
Walk A Way always hits hard,Negative
This song is amazing. Can't wait for the whole album,Positive
He's truly an artist. I love how he shared his processes on how he made this song. I don't k ow about others but I really love the story behind and the actual 'in process' shots or videos because that would make you realize how much work are put into to have that final product.,Neutral
This song will never leave my mind now. Every time I turn on/off the lights this song always come to my mind.,Neutral
Still hitting till this day,Neutral
this will hopefully break Spotify charts,Neutral
So we gonna ignore how cool the transition in 0:44???,Positive
"This guy should be a marketer. The way he took us to the making of this song was a fantastic way to market the song and build the thrill in the audience before the release. If I had not waited this long for this song, I am not sure if I would have added this to my playlist, but the 5 month wait makes this song special to me and hence deserves a spot in my playlist.",Neutral
this song made me cry tears deep inside me I cried like before it is really touching this song,Positive
"I've never been so excited for any song in my life. And the wait, the excitement is totally worth it.",Positive
This new song hits hard! ,Neutral
"After endless TikTok's, it's so nice to finally hear the full song ",Positive
"Another great song is ""This is Love"" by Brad Lebakken.  It's a hidden gem on spotify",Positive
THIS SONG IS DEFINITELY WORTH THE WAIT!!️,Positive
"he’s got a lot of TikTok songs that i’d like to hear turned into a full track. “I Hope Your Jacket Smells Like Me,” “I Don’t Think That I Like Her Anymore,” that one that’s “Hilarious (Hahaha)” keep giving us great music, Charlie!",Positive
