comment,sentiment
charlie puth. taking over the world one song at a time,Neutral
I am leaving this comment in hope that whenever someone likes it . I'll be reminded of this masterpiece.,Neutral
From-2016 to now-2025.,Neutral
One Call Away.. great song..,Positive
This song always gives me good vibes,Positive
Lyrics:,Neutral
This hit me hard because I always used to listen to this song when it was first released. I really hate ‘Nostalgia’ because it hurts to remember it again knowing you can’t feel what you felt that day.,Negative
"Nếu Superman Cần Thơ đưa bạn đến đây, hãy cho chúng tôi thấy cánh tay của bạn 🇻🇳",Neutral
I'm only one call away,Neutral
"Puth is a genius and he's so SO handsome, is one of the most gifted.",Positive
"with this song comes a river of memories I will always cherish, such a marvelous song!",Positive
9 Years and this song is still legendary.,Positive
"When I got married 4 years ago, my mom chose this song as our mother son dance. She passed away this spring, never realised just how prophetic these lyrics really were. Miss you mama.",Positive
"6 years later and still listening, this is definitely a timeless song Hope everyone is doing well",Neutral
It's amazing that so many people are listening to this song even though it's from 9 years ago. Thank you so much for singing and creating this precious song.,Positive
I love this song. I never get tired of listening to it. Lyrics have so much feeling.,Neutral
His voice is so soft and gentle. I like it so much!!!,Positive
I remember singing this in the car all the time,Neutral
One of my favourite Charlie songs ,Neutral
"Who still listening this song in october, 2019 🇵🇭",Neutral
"7yrs down the line and I still enjoy the song, one of the best masterpieces ever.",Positive
Even heartache sounds beautiful in these melodies.,Positive
"I was obsessed w/ this song like 4-5 years ago, And I just got this in my youtube recommendation....",Negative
I hope this song will get 1B views ,Neutral
OMG I HAVENT HEARD THIS SONG FOR FOUR YEARS,Neutral
Can't believe iam this old ,Neutral
2020 june: this song will never get old,Neutral
A message to the future generations. Don't let this song die.,Neutral
My best friend in middle school sang this at the talent show but I moved schools. I miss her so much. This makes me nostalgic.,Neutral
2025 guys!!,Neutral
THIS SONG WILL NEVER DIE And this love will be always a legend,Positive
Letra,Neutral
Superman cần thơ nha🇻🇳,Neutral
love this song,Positive
7 Years Later And This Song Still Got Nostalgia In It,Neutral
This is the best. Love you so much charlie!,Positive
Cry to the song everyday. ,Negative
After 9 years still this song reminds of that era when i used to listen it.,Neutral
"This is one of those songs you hear in a store as a child, it gets stuck in your head and you keep it as a memory because its so sweet and pure and innocent and full of love.",Positive
1% song ,Neutral
9 years later. This song still masterpiece ,Neutral
His voice is amazing,Positive
"This song never gets old. No matter how much I listen,",Neutral
his voice is so...so...soothing and beautiful and i just want to listen to it everyday,Positive
"Perfect song, heart touching",Positive
"I could listen to this song everyday. It’s simple. It’s beautiful. It’s a story as old as time. Thank you, Charlie Puth.",Neutral
"This song is like a wine. The older it gets, the better it is.",Positive
I know this song but today is the first time I truly listened to it and I immediately I dedicated it to my daughter. Such a beautiful song. Also i love the piano part at the beginning ️️️️.,Positive
"No matter how many times I listen to this song, it's never boring.",Positive
"It""s October 2024,I""ve been listening for this since 2016,time flies",Neutral
Who else is listening this masterpiece after 6 years!!??,Neutral
I used to sing this to my late and today's his heavenly  birthday ,Negative
Awesome lyrics,Positive
This song is old but still touches my heart,Neutral
It’s 2023 this song is not getting old I never get tired to play even for how many years or decade will passed such a great masterpiece ,Positive
Superman got nothing on me. This is one of my favorite phrases!!,Positive
Today is 2020 but this song are still touching my heart,Positive
I can't be the only one who thinks he would've been perfect for Glee,Positive
"Dear everyone that's reading this, we don't know each other but I wish you all the best in life and happiness ️..",Positive
Brooo i can't believe I forgot this masterpiece,Neutral
"man i forgot about this song like millions of years ago, the nostalgia hits hard ",Negative
Never get old. I love this song,Positive
One Call Away,Neutral
one call away by charlie puth love songs lyrics music,Positive
