comment,sentiment
,Neutral
I will dance this in my wedding,Neutral
"57 years together, ",Neutral
Ed Sheeran is a type of guy that makes you fall inlove deeper to your gf/ bf even if you don't have one.,Neutral
No bad words,Positive
"Usually, my comment never get noticed, but i hope they do. Music is medicine. When i listen to this I go to another world. This song and “Clover Cage - Test These Waters” are two songs that helped me with my depression. I just want people to know it does get better. We are in this together.",Neutral
Is there anyone single and still listening to this romantic song??,Neutral
Ed makes the best wedding song,Positive
I cant believe it..,Neutral
THAT VOICE  SO PERFECT ,Positive
0%  Nudity,Neutral
i wanna say : I will dance this in my wedding,Neutral
Who’s were in September 2025?,Neutral
"The Perfect video for the perfect song 'perfect""",Positive
Congrats to 2 Billion!!!!,Neutral
3:20 THIS PART IS SO FREAKING WHOLESOME WHEN SHE WAS SO EMOTIONALLY LOOKING AT ED ,Neutral
"While it's raining outside, I listen this Song in my room.  Just so Perfect! ",Positive
Perfect video for a perfect song! :),Positive
"Soon on my wedding, me and my future husband will dancing with this beautiful song.",Positive
Damn after watching this video.. i want to have someone like him.. ,Neutral
"For the 2% who read this, I wish you for a total success in your next project",Neutral
leaving this comment because I'm on the way to found my love!,Positive
It's crazy how many people come back to this everyday. This song is legendary.,Neutral
Perfection.,Neutral
One word:,Neutral
This song is as romantic as what shows on the fairytale.,Neutral
Perfect song and video in so many ways,Positive
4 BILLION LETSGOOO,Neutral
This song is perfect ,Positive
Great song...just love it...enjoy listening to it every day.,Positive
I found a love for me,Positive
It's been almost 5 years but this song still hits hard with immense feeling of nostalgia.,Neutral
"A perfect song for a perfect year, hope my 2018 will be as perfect as this song",Positive
"Since 24th May when our journey started, every day has felt like this perfect song. With you, life just keeps getting more beautiful, more meaningful, and truly perfect.",Positive
Ed Sheeran got married to the girl(Cherry) he had a crush on when he was 11 years. Now they have a little baby girl named Lyra. I am so happy for them!!,Positive
One day before the end of 2018 surely a perfect way to start 2019,Positive
2019 still perfect song ,Positive
i felt like i was in a movie. well done ed.,Neutral
It's just Perfect,Positive
One of the BEST Song I ever Heard!!!!,Positive
I won't give you up I won't you have brought so much life into me  you have a beautiful soul ️,Positive
Perfect Ed !!!! ,Positive
Why must all of Ed's music videos be so perfect?,Positive
Perfection in every single possible way ️,Neutral
Hello Singles ️,Neutral
This hits differently when they can never be yours.,Neutral
I want to give millions of like  but can only give one ,Neutral
Only a few have perfect life and love.,Positive
It's perfect,Positive
Probably Best love song video of all time. Hit like if u agree,Positive
Perfect ,Positive
