comment,sentiment
It was 2017 and I was going through chemotherapy for breast cancer. My husband drove me to all of my treatments and this song came on the car radio every time. I would get lost in the lyrics. My husband was my rock during that time and this song always reminds me how he never left my side. That’s what marriage is about. 33 years!,Neutral
you can hear the feelings in his voice ...... brings back a lot of memories ,Neutral
"Honestly, it's hard, bro, but what's certain is that telling and expressing all the problems that come up in life can calm your heart and create a feeling of relief.",Neutral
I still get butterflies and emotional I'm 70yr old but could listen to his music all night what a talented young man,Positive
"This song reminds me of my late mother. She loved this song and we sang it on loop sometimes. If I knew she’d be gone, I’d sing this song one more time just for her. Ilysm mom.",Positive
"i used to listen to this song in around 2017, my parents would always have it on the radio. i remember my parents loving this song. then a few years later my parents got divorced. after about 4 years of not hearing this song my mom started singing it in the car. it reminded me of the good old days when my parents were together. this song makes me tear up, so thank you James Arthur for writing this, it has changed my life️",Positive
My husband told our kids to quote this song for me and play it after he passed away from cancer. It's been a couple of weeks now and this rips at my heart even as it makes my soul glow... ,Neutral
this lyrics make me cry when I hear this song I always remember him ,Neutral
Dang you can hear the raw emotions behind the voice screaming. I've lost my mom some years back and this song reminds me of what I lost ,Negative
This song something for expressing your love for someone unconditionally who are never mine but you still love him /her. Thank you for making this song ,Positive
"This is what I want in life, not popularity or fame; just somebody to grow old with, somebody that will always have my back and in return I will have theirs. I want someone to care about me and make me feel safe. I know everybody says that, but I truly want this kind of love.",Positive
Everything is changing everyday.   We're seeing right in front of us that nothing is permanent. Can I  ever be able to see you again in this chaotic world? My love. I didn't forget you a day in these whole 4 years without you.,Positive
"This song really shed me in tears , i lost my mon just 2 months ago , until now everything is very clear to me , i saw her last breath and im the one who had to close her eyes  . I dont how or when i will forget that moment but i think i will never forget that moment . For those who still have their parents alive love them will all your heart .",Neutral
I remembered listening to Say You Won't Let Go during my 8th grade year of middle school and during summer break after I graduated from middle school. Love this song and it's so nostalgic.,Neutral
"I'm so late but I was listening to this and crying, me and my friend just recently got over an argument and this song reminds me how much I care about her and that I can't take back the mistakes I've made so I'm glad she forgave me. Those of you who have close friends, don't let them go. You never know how much you love someone until they're gone. I promise you if you're having an argument with your friend, girlfriend, boyfriend, or just family the thing that helped me and my friend was saying let's just not bring it up or talk about it anymore. It might work and it might not. Just remember if you love someone tell them there might be a point where it's too late and you didn't get the chance. Here's your advice from an 12 year old. (:",Neutral
When I was 7 I quit playing guitar. For a couple years my father taught me how to play the guitar. Genuinely I was an EXTREMELY advanced player at my age but I felt discouraged ever time I would mess up. Because of that I got upset and decided to quit. 7 years later I listen to this song in awe. It's absolutely beautiful. I sing it almost everyday and dream of playing it on the guitar.  So I went back to my father and asked him to teach me it. And here I am. Already playing the first part of it. Never give up on things that you're good at just because you are scared that you suck cause you are amazing!,Positive
I'm here just because of Jay from Enhypen ,Neutral
I just found my new favorite song ,Positive
I wish someone can love that this song can be true.,Positive
"This is my favorite James Arthur, s song too so much.",Positive
This music is the reason someone is still living. God bless u all who are suffering tremendously like myself. I’m here because of my kids,Positive
I was listening to this song when my grandpa was going through cancer and although he didn't make I still hear his voice telling me to play it. ,Neutral
Love his words and how he sings. He sings with so much emotion and feeling ️️️️️️.,Positive
james i cant express how much thiese kind of songs bring people alive. for a long time i didnt know that i could be capable on doing smt but this songs shows how much love comes in my way.,Positive
"""Your love is more than worth its weight in gold"" holy fuck that line always makes me burst in tears",Positive
This song is just perfect,Positive
This will be my wedding song ,Neutral
"This song represents my husband and I. Thank you so much for this beautiful creation, it's emotional, and such a very moving song. ",Positive
March 2025 anyone??,Neutral
After Enhypen Jay cover Engenes are here,Neutral
I honesty cant listen to this song without crying. My ex used send me this and it was like our special song..,Neutral
Even I'm the new generation but since I grew up in my teen age I feel warm listening to your songs and I come back like a hundred times in a song thank you,Neutral
Rest in peace baby,Neutral
2024 here bcs jay enhypen cover this song,Neutral
I truly hope to find a love like this in life…,Positive
"This song is so relatable, even if he leaves me now, I'm fine because I've been his gf enough. I'm so happy that he became a party in my life. Thank you for everything ️",Positive
"I'm so happy I'm finally dating my gf and finally realized she's the one bc I've known her for years. I'm so happy with her and she reminds me everytime she can that she loves me and can't wait to marry me. She's so amazing, beautiful, and super smart.",Positive
