comment,sentiment
So excited to see this finally be released! Hope you love it ,Positive
They both sound like angels man so motivational ️,Positive
"once a wise man said, ""when you're happy you enjoy the melody but, when you're broken you understand the lyrics"" ",Positive
Anne-Marie looks like an angel and sound like an angel. James has a very unique voice. I have to listen and watch this videoclip daily.,Positive
September 2021.... ,Neutral
2 of my favorite British singers sing my favorite song. This is incredible and great music! Can't stop to hear this!,Positive
"Anne-Marie brings so much heart and soul into this song. Her version of “Rewrite the Stars” isn’t just a cover — it’s a beautiful, emotional experience. Her voice carries such warmth and sadness at the same time. It made me think about how powerful music can be when it's sung with real feeling. Truly unforgettable. ",Positive
James Arthur is a great singer naturally.. not sure why so much auto-tune was added.,Positive
You know I want you,Neutral
"""No one can rewrite the stars""",Neutral
James Arthur is TALL and so talented!! Lisa Marie's voice is so velvety....  Then the song is just MAGIC!!,Positive
James Arthur's voice gives me chills. Anne Marie is so good too. ️,Positive
"If you're here in 2021, it means you have good musical taste.",Positive
Anne-Marie and James Arthur ? It's amazing !,Positive
This song makes me miss someone I never loved,Negative
This song never gets old. It still gives me goosebumps.,Neutral
Nobody 2025  this music is awesome ,Positive
"""to the stars who listen, and the dreams that are answered""",Neutral
i'm tracking James Arthur's masterpieces and found this song. now stuck in here listening to it everyday. it's a simple yet so deep song by heart. love it soooo much!,Neutral
4  years later and this song still hits different. Truly a masterpiece. +254 love,Neutral
it's so good. unbelievable,Positive
James arthur with his voice can turn any song into diamond,Neutral
I'm here today 7th of September 2025 and this song never gets old,Neutral
Their voices compliment each others so beautifully and the song is just so perfect,Positive
Besttt songg in historyyyy,Neutral
"I remember when James' audition was trending on YouTube all those years ago. I was glued to his story and even though I was in the United States and I couldn't vote for him I was like watching that show every week on YouTube. Like damn, this kid BETTER win. Before he had any albums available for purchase in the states I made a YouTube playlist and would  listen to it every single day! I'm so happy to see him bringing his gift to the world. So talented. His voice. So proud of you, James.",Positive
""" After Two years """,Neutral
It’s 2025 and the song is still on repeat. It never gets old.,Neutral
This is my favourite song,Neutral
Lyrics: ,Neutral
"""It feels impossible""",Negative
I need an acoustic version. Both James and Anne have beautiful raw voices that are just softened here.,Positive
When i sing this song in a lonely place in my room it's feels like in heaven ,Neutral
This song is still amazing!! The way James said/sang Destiny just sounds different but amazing at the same time!! The way Anne just sings is incredible!! You two need to do more songs together you both sound so amazing together.,Positive
"Either You are in a relationship or not, this song hits everyone Somewhere.",Neutral
"Okay, James Arthur looks sooooo goood!!!damn.",Positive
Who's here in 2025,Neutral
I need an acoustic version from James and that is all.,Neutral
I'm not going to talk on auto tune because I don't know shit about it. What I want to talk about is that I so NEED an acoustic version of this and Never Enough from Kelly. All three of these artists shine with live acoustic versions. They're always brilliant and I seriously love them.,Positive
To sing with James Arthur is a blessing. An absolute blessing.,Positive
[Verse 1: James Arthur],Neutral
I think the dancers have done a very good job.,Positive
Anne marie i love your voice and  hair style......love you from indonesia....,Positive
I love this song,Positive
"FUUUUDGE.... This is sooo Gooood. Like, The video, The Voicesss.  And this is Anne marie in a dress not in baggy jeans.. She's is sooo beautiful .. This is sooo lovely. ",Positive
Anne-Marie and James Arthur’s voices sound incredible together.,Positive
James arthur has gold voice .,Neutral
When you love someone who can't be yours.,Positive
"""It feels impossible""",Negative
"Don't Worry, You're not the only person that is listening this masterpiece this month.",Neutral
As estrelas que ouvem e aos sonhos que são atendidos...,Neutral
i miss this era of songs,Neutral
my boyfriend  dedicated this song to me.....how do we rewrite the stars now  that u are gonecontinue to rest in peace...forever  missed,Neutral
