comment,sentiment
I'm in love with someone who doesn't feel the same way. This song encapsulates everything I want and it breaks my heart...,Positive
This song is making me cry over someone who has never existed,Neutral
My husband sung this on our wedding day I cry every time I hear it!,Neutral
Never gonna get tired of this song ️,Negative
"im gonna sing this song to my Girl, thanks james for the beautiful song.",Positive
"It's sad when that person you made memories with, became a memory.",Negative
"0:50 I knew I loved you and you never knowed, Cause I played it cool & I was scared to let it go",Positive
“I’m gonna love you till my lungs give out” ,Positive
my favorit song,Neutral
I swear this man sings with so much emotion ️,Positive
And I’m in love with this beautiful heartbreaking kind  loving song so         Intucherbale,Positive
"For those of you in pain right now while listening to this, losing a loved one or anything else nearly as bad, I feel for you man , stay strong ️",Neutral
My heart just breaks when older people cry... its just horrible to see..,Negative
"When I listen to this song I feel like I'm in love with someone and I'm heartbroken , but in reality I'm just sad cuz I'm hungry",Neutral
So heartbreaking and thoughtful to hear this song the video and so sad to see about and so in touching,Neutral
"Best X-Factor winner ever in the history of all X-Factor shows across all countries. Fan from Chicago, IL (USA).",Positive
I love you dad,Positive
Played at my dads funeral ️ I will remember this song until I die. Thank you so much James ,Positive
"Listening to this song can make people reflect on the importance of love, loyalty, and commitment. It reminds us that true love is not just about romance, but also about patience, sacrifice, and growing old together. That’s why many listeners feel connected to it — it speaks to the universal desire of being loved and never left behind.",Positive
"“People don’t cry because they are weak, it’s because they’ve been strong for too long”",Neutral
This brings out  emotions I never knew I had  ️,Neutral
"My comments never get noticed on YouTube, but I always try to spread love. Music is my therapy. When I listen to this I go to another world. This song and (Clover Cage - Test These Waters) are the two songs that helped my depression. Just want people to know it does get better. We are in this together..",Positive
this is one of those songs that you instantly fall in love with,Positive
This song has all the words that go over your head when you're in love. ,Positive
I finally learned how to play this song in guitar!,Neutral
His voice sends me to a dream world,Neutral
This song almost perfect story of my wife and I...17 years going strong... 4 kids... still chase eachother like little teenagers.. we will definitely still be together when we are ghosts. I adore you Baby Girl!,Positive
Someone plz help me . ,Neutral
May 2019? Still crying,Negative
This song has one of the most beautiful lyrics I've ever heard,Positive
FINALLYYYY,Neutral
"I Leave My Comment Here So That Every Time Someone ""Likes"" I Get A Notification And it Reminds Me That I Have To Come Listen To This GREAT SONG Again....",Positive
#ForeverAlone ,Neutral
"When you are in quarantine in 2020 (and you are bored af) and u wanna cry so you listen to that song ,",Negative
This song will definitely be on my wedding playlist... your voice is just healing ️,Neutral
"If anyone happens to come across this message, I just want you to know: no matter where you are in the world, I'm wishing you a beautiful day and a life full of happiness, peace, and fulfilled dreams. You are incredible, and you are enough. I believe in you, always! ",Positive
This song is one the most Beautiful piece ever made.,Positive
I have listened to this song I think 12 times this week and it’s only Wednesday:D,Neutral
"I bet that nobody sees this, but I do pray they will. Music is medicine. When i listen to this I go to another world. This song and “Clover Cage - Test These Waters” are two songs that helped me with my depression. I just want people to know it does get better. We are in this together.  always",Positive
She said we would listen to this song everyday together. But now its just me listening to this.....,Negative
"I always get a 'the man who can't be moved' vibe from this song, both songs are amazingly beautiful",Positive
I’m not ugly crying listening to this i promise...,Neutral
"The old man at the end gets me evertytime, that level of love is so hard to find and when you do you never let it go",Neutral
