comment,sentiment
"“01 October 2025 let’s see how many legends are listening to this masterpiece, still one of the most popular songs ever even after 8 year’s!”",Positive
6.5 Billion for the next Year,Neutral
Who's there in October 2025?,Neutral
Who's here today???,Neutral
Old but gold,Neutral
6 BILLION IN 2022,Neutral
Who's is here in October 2025??,Neutral
"this song is one of those song where you were like ""nah"" the first time but the second time you listen to it you're in love with it",Positive
5.5B views n counting.....,Neutral
0% nudity,Neutral
Any one in september 2025  let's see how many people are still hearing it,Positive
Who listening 2025 september 27??,Neutral
22  September 2025 wale legends ajao yar,Neutral
"Red hair, a hand-me-down robe.... You must be a Weasley.",Neutral
"""the club isn't the best place to fall in love so the bar is where I go"" YOURE IN A FUCKING GYM",Positive
"Hey you, scrolling through the comments, I hope you have a great day today :)",Positive
This is my neighbors new favorite song whether they like it or not.,Positive
Is there anyone still listening to this all-time masterpiece...in 2025???,Neutral
Who's watching this while reading comments??,Neutral
Who else is reading the comments while listening this song?,Neutral
Claim your official “I was here before 5 billion” ticket here.,Neutral
3 YEARS OLD BUT THE COMMENT SECTION IS ACTIVE,Neutral
I like how they go to the gym,Neutral
raise ur hands before  500k squad..,Neutral
“29 September 2035 let’s see how many legends are listening to this masterpiece,Positive
This made me get out of the couch and do 2 push-ups .,Neutral
Before 1 million views squad where u at?,Neutral
"Someone here in 2025,2026,2027.......???",Neutral
I can't stop listening this. Anyone Else ?,Neutral
"So... the message of this video is that, if you want to get the boy, hit him with your locker?",Neutral
Why doesn't Ed have a Girl friend?,Neutral
Someone call a vet! My mouse keeps clicking the video!,Neutral
Under 1 mil views squad where you at,Neutral
Didn't knew hitting someone with a door is a great conversation starter...,Positive
"I think Ed liked that girl, but SHEE-RAN away",Positive
Is anyone else shaking their feet with the rhythm of the song? ,Neutral
85 million views in 10 days not too bad,Negative
"I'm putting this comment here so that a few months from now, when someone likes it, I'll remember this masterpiece again and listen to it again.",Negative
"At the end of the video when Ed is on the floor, he looks exactly like me every morning trying to get out of bed",Positive
People in the comment,Neutral
"This song did for music what ""Night in Zagreb"" by Medvidović will soon do for the world of literature.",Neutral
1st october 2025 who is here,Neutral
this song makes you love your body,Positive
this is not what i pictured for this song at all,Neutral
Damn. I feel like a potato after watching this. The most exercise I do is walk to the fridge.,Positive
Is there anyone still listening to this timeless masterpiece...in 2025...?,Neutral
THIS MAKES ME WANT TO WORK OUT,Neutral
"My neighbor really likes this song, he threw a brick into my window so he could hear it better",Positive
ed sheeran songs makes you fall in love whithout  knowing the person you are in love with ! lmaoooo,Positive
Thumbs up if you enjoyed  the video ,Positive
ed sheeran - like ,Neutral
Others: who is is listening during quarantine,Neutral
"September 24, 2025... I'm here to check if this song actually reached 6 Billion. I was so surprised. I was here when this music video was first released. Like I watched this vid 20 mintues after it was initially posted publicly. The views were like around 20-30k. I was 17 years old at the time and I thought this song flopped. I remember liking it, but I just thought it flopped at the time. I do hear this occassionally being played on events and radio stations but I didn't think much of it over the years. 8 years later, I scrolled to a youtube shorts to find out that this song got 6 Billion views. I was shocked. I don't know, I find this boring story cool enough to share. It's nothing really important, it's not life changing. But the fact that I thought Shape of You flopped for 8 years straight is just bewildering to me, to say the least.",Neutral
who thinks this song will reach 2 billion views,Neutral
First time listining to Ed Sheeran ,Positive
Who reads the comments while listening to this song ?,Neutral
Who is listening This song in 2025 Sep 27?,Neutral
Fun fact : after four years comment section is still active ,Neutral
I love this song ,Positive
Like who is listening in December 2018,Neutral
"""Every time I listen to 'Shape of You,' it feels like the song has a life of its own  You just can’t help moving to the beat and singing at the top of your lungs. Ed Sheeran outdoes himself every single time—what a masterpiece!  Who else is obsessed with this gem?""",Neutral
I sang this to my crush. Trial starts next week,Neutral
"I sang this to my girlfriend, but sheeran away.",Neutral
Girl: I think I'm falling in love with you...,Positive
Every time someone likes my comments I'll watch it again,Neutral
Who watched Caspar's video with Ed?,Neutral
Under 1 billion views club!,Neutral
This makes me want to work out.,Neutral
All Time Classic,Neutral
That girl is sooo pretty omggg,Positive
who also scroll down to Comments while playing this song,Neutral
wow she is so beautiful ,Positive
"I will watch this all-time masterpiece, every time you reply to this comment.",Neutral
Ed Sheeran is so underrated,Neutral
ed is so handsome in this video,Positive
I'm in love with this song ,Positive
any one there?...9/23/2025,Neutral
she looks like a combination of asian and african-american. so beautiful :),Positive
Since when did Ed have tattoos all over his chest,Neutral
"When people ask ""Why Is He Dressed Homeless If He Is So Rich?"" Because He Is totally gonna fight in a £10,000 suit.",Neutral
日本人の方いますか？🇯🇵,Neutral
Hi ( Sorry for my English ),Negative
Ed is training for box ...... ends up doing sumo,Neutral
Who's just listening to this song over and over ,Neutral
October 2018? ,Neutral
Before 1M squad where you at?,Neutral
Who here in 10 September 2025,Neutral
I forgot how good this  song  is ,Positive
Who's listening to the song and scrolling through the comments?,Neutral
what's the name of the girl ? she's beautiful,Positive
"The club isn't the best place to find a lover (continue it, lets see how far we get)",Positive
Anyone today  listening,Neutral
Anyone after 4 bilion?,Neutral
Who is here before the 100 million views,Neutral
A Blasian chick. How cute! ^^,Positive
Azerbaycanlilar varsa gelin kommentde birlikde dinleyek️,Neutral
A black asian. interesting.,Neutral
I thought the video would be set in a bar or something definitly not in a boxing ring!,Neutral
she is a goddess ,Neutral
"It’s 10 pm on September 20, 2025 to that person who said ""21 September 2025 let’s see how many legends are listening to this masterpiece"" ️",Positive
She just looks like anyone of us. Maybe I'll be in one of Ed's videos someday,Neutral
3:25 wtf is this ,Negative
June 2019???,Neutral
"i advise all of you , don't visit Egypt , because Egypt is not suitable for tourism Don't invest your money in Egypt , don't buy Egyptian products , don't visit Egypt Don't invest your money in Egypt , don't buy Egyptian products , don't visit Egypt #####",Negative
Who came here to rewatch this after  watching IIT Roorkee's Cinesec video?,Neutral
I used to be a fan,Neutral
That ending...,Neutral
"Ya know, when i was 4 yrs old, i used to love this song, i would think whenever it said ""im in love with ya body"" i thought it said ""im in love with chabada"", like the bread  now ill never unhear it  anyone else september 25",Positive
Why doesn't ed Sheeran have a girlfriend?,Neutral
Who is here after Bart's parody?,Neutral
"Almost a million comments, if you find mine you're a legend",Neutral
Kto z Polski słucha? :D,Positive
The ending ,Neutral
.,Neutral
"Even after 8 years, Shape of You remains one of the greatest pop songs that defines a generation.",Positive
It's not my birthday. ,Neutral
The best song in 2017 !!! Who is agree ?,Positive
this video made me want to do execise....nahh!! thumbs up for those lazy people out there,Negative
Any one in September 27 2025 ??,Neutral
I have a friend ,Neutral
100% #EdSheeran & Amazing talent ,Positive
That last part of ed getting up is so me lol,Positive
Be who listening this song in 2030 or 2040 enjoy your life,Positive
I hav finally seen a black Asian ...now I can die in peace,Neutral
wait why did she leave wtf,Negative
where my clique at |-/,Neutral
2027 let's see how many legends are watching this masterpiece,Positive
Wow am i seeing what im seeing! A black actor to play the pretty girl? Finally,Neutral
Who is hearing after coronavirus outbreak,Neutral
here before a million views squad?,Neutral
Anyone in 2025 ?,Neutral
42k dislikes from justin bieber's fans :D,Positive
Black person eats salad - White person eats chicken. Well played.,Negative
"Red hair, second hand clothes? He must be a Weasly",Neutral
30 sep 2025 let's see how many people are watching this masterpiece ,Positive
Vous êtes là les français 2019???? Février ,Neutral
Wow that girl is beautiful ,Positive
200% talent,Neutral
Anyone in 2025?,Neutral
Who's watching this In Quarantine?,Neutral
Who is here before one million??,Neutral
Omg her eyes.... exotic,Positive
Who's here today 🫩️,Neutral
The end is everything,Neutral
The dentist led me here anyone else?,Neutral
Ed Sheeran: The Bar is where I go...,Neutral
"Don't invest your money in Egypt , don't buy Egyptian products , don't visit Egypt Don't invest your money in Egypt , don't buy Egyptian products , don't visit Egypt #####",Neutral
Who else think if they where really dating they would be a cute couple because I do,Positive
whats her name? one of the most beautiful girl ive ever seen. black-asian people are so beautiful,Positive
Who's listening to this without socks? ,Neutral
Who’s listening in october 2025,Neutral
"Yay! She's not white, bless ",Neutral
️️Shape of you️️ ,Neutral
2:37 when you your phones at 1% and you have to get your charger,Neutral
Anyone still watching in 3025???,Neutral
That ending though... Where's the girl to help him up? She can do a flying kick into a sumo wrestlers face but can't help him get up??? ,Neutral
I smell a billion views..like if you agree.,Neutral
Let's see how many likes I can get for my birthday day,Positive
Who is here this night,Neutral
White guys eats the fried chicken and the girl eating the salad.. well played.,Negative
