comment,sentiment
This sounds like Shape of You and I Don't Care all in one and I'm here for it,Neutral
Fun fact: Ed Sheeran doesn’t have a bad song,Neutral
Soon the song will be played all over the world,Neutral
"To anybody who's reading this, I pray that whatever is hurting you or whatever you are constantly stressing about gets better. May the dark thoughts, the overthinking, and the doubt exit your mind. May clarity replace confusion. May peace and calmness fill your life",Neutral
Ed Sheeran’s talent is endless..,Neutral
"This is shows the new Ed Sheeran... Very confident, energetic and colorful... Love it ",Positive
I remember Ed saying about how songwriters should keep writing until the bad water comes out from the tap. ,Negative
I have a feeling this is going to be a good autumn!!!,Positive
I'm so here for 2021 Ed Sheeran,Neutral
This is magical. Ed has consistently made great music for over a decade. How long can this last?,Positive
0:27 idk why but she kind of looks like Britney Spears ( from the early 2000's ),Positive
"ed sheeran is a genius. this song is so catchy,",Neutral
he never disappoints his fans,Neutral
Music’s favorite ginger,Positive
Anybody here September 2025,Neutral
im addicted to this song ,Negative
10 Years of Plus ,Neutral
"This is so adorable and fun, every time. The parrots are the BEST. Thanks for the joy, Ed and AnnaSophia, and the entire production team! We all need MORE JOY!! 🩷 ",Positive
Ed Sheeran's style is so cool,Positive
"He's funny, he's stylish,  he's a great singer and this is what makes him wonderful....",Positive
"i love how he isn't taking himself seriously, there isn't enough of that",Neutral
The way Ed sings about those electrifying moments truly hits home. It’s like he knows exactly how it feels to be swept off your feet! Just wow. ,Positive
Legends say When ever Ed speaks Wind blows. And his home hasn't seen AC Running for years now..,Neutral
You’re such a beauty Ed. Thank you for everything.,Neutral
Ed Sheeran's songs are musical therapy for mankind,Neutral
God loves you despite all the bad things that you do️‍,Negative
Ed can you ever disappoint? Track is fire ,Neutral
Love how he never takes himself too seriously.  Cute song.,Positive
I don't have any visiting hours for Ed's songs . I'm here all day.,Neutral
Still love this song ,Positive
Damn....Every song he is more LEGEND!!,Positive
"""""""Dear next generation this is Ed Sheeran. He tried to make the world a better place. His music gave us shivers -good shivers""""""",Positive
Ed's helping people propose their crushes with his songs. What a banger!,Neutral
This song is fire,Neutral
I feel like he’s exactly the person he’s wanted to be for so long,Neutral
"One singer just focus on creating music, and doesn't waste time making gossips, drama",Negative
"I have to admit, his acting is getting better and better",Positive
ずっと聞かせていただいております、努力家で謙虚で誠実で優しい貴方らしい曲ですね。優しさが詰まっています。日々、消耗品の様に消化されていく中、月日が経過しても心に響く一曲ですね。,Neutral
Ed you are the best. It will be an amazing album ,Positive
"That’s the exact look and feeling between my husband and I when we met each other……I was working as RN and he came in after dumping his motorcycle to miss a vehicle on wrong side of the road…….the rest is history for 16 years until his untimely departure from this earth. It was then that your song, Photograph came out and that was again, our story……Thank you so much for your music, it has helped me in my healing process 🇨🇦",Neutral
Ed sheeran makes best songs ewer,Positive
"If you think she looks familiar but can’t remember her name, that’s AnnaSophia Robb. ",Positive
"I don't know why, but this song is extremely addictive",Neutral
"Ed, you gave me shivers with this song.",Neutral
thanks now I keep coming back to listen ,Neutral
"He's such a king, every song he makes is just art",Neutral
A message to the future generations. Don't let this song die.,Neutral
"I love that Anna Sophia Rob from “Bridge to Terabithia”, “Winn Dixie” & “Charlie & the Chocolate Factory” is his love interest!",Positive
Lijepa pjesma ,Neutral
"He's a musical genius. Such a versatile artist, the man can do it all!",Neutral
Never thought a street singer will come this far ..This makes  us hope our dreams can come true  no matter what if we try ...Your'e my idol,Positive
Ed's acting skills and expressions are priceless and so cute,Positive
Is a masterpiece ,Neutral
I’m so happy that he’s so talented and gets to share it with the world  His music  and personality is such a delight  Thank you  so much Ed for all the things u take the time to create and give u ,Positive
I am literally obsessed with this song and music video…no matter how many times I listen it gets better and better every time!!,Positive
On repeat,Neutral
This song is too good. You know that feeling. Waiting to get that message back. When you finally do it just brings you back to life.,Neutral
Every song of this guy is a Hit! He's just a genius.,Neutral
Honestly can’t wait for the release of his new album… It’s going to be great!,Positive
Each and every time Ed Sheeran shows the magic of his world-class music.,Positive
never realised how much of a fever dream ed's official music videos are,Positive
Love the fact that ed is doing things different stepping out of his comfort zone.,Positive
"I like so much how Ed shows man’s affection is soft and insecure. He doesn’t play brutality, he’s just the way he is. I respect and love it!",Neutral
"I can't get over to bad habits already, and now shivers, Ed's stuff is really addicted.",Negative
..lots of love form zimbabwe,Positive
That “ED SHEERAN NEVER DISAPPOINTS “ will definitely go down to history perioddt,Neutral
"Ed never disappoints with his stuff, so proud.",Positive
Ed Sheehan’s music videos are so fun and creative I believe that he deserves more support,Positive
Been following this mans music since the A-Team.   He’s a musical genius.,Neutral
This is the most talented singer nowadays and every song that he sings becomes a total hit! We all love you Ed!,Positive
"Imagine how many people are watching this right now! This song got me addicted to it, i can't stop listening to it, it's a such excellent song",Positive
Ed Sheeran is the only musician who can give me the shivers ,Neutral
"Ed Sheeran is one of the best musicians there has ever been. He knows how to make a number 1 hit, and I bet this will be.",Positive
It's fun to see Ed Sheeran enjoying his music videos as well as his songs!,Positive
Ed doesn’t stop.  Hit after hit.  Gold for sure,Positive
Who listening to this masterpiece in......️,Neutral
"“This is the best song he's ever written""",Positive
"I love this man, hes so good",Positive
How is possible a musician continuing be amazing in all the music that he sings.,Positive
"that touch at the beginning and the rest of the song, within his voice is so... cool!",Positive
Omg this songgggggg ,Neutral
Shivers and Bad Habits are really catchy. I believe the new album will be great. Ed you smashed it!!,Neutral
This song gives me the shivers,Neutral
"Speedy recovery, Ed. Keep giving the world shivers with your music.",Neutral
"Can't get over Bridge to Terrabithia, AnnaSophia.",Neutral
he really never has a bad song... its insane.,Negative
I love this group. Praying and hoping that they have Europe concert too.,Positive
"My husband is already sick of this song cause it's playing on repeat all day, along with Bad Habits. Thanks for the jams!!!",Negative
Just when you think he can't raise the bar any higher... he goes and release another masterpiece,Positive
好好聽喔,Neutral
Ed Sheeran is just a gem. ️ His voice is priceless and special.,Positive
70 yr old woman here and I love this song. Brings back memories of first loves so many chapters ago. Don't waste your life on people that don't care about you. Your book of life goes fast.,Neutral
It’s impossible for Ed to make a bad song another epic tune,Negative
"Everyone has been hating on Ed recently, like I don’t understand, he’s been in the industry for so long but not once has he caused drama or been disrespectful I love him",Neutral
"I love how he's gotten into his music videos, not just sat playing his guitar anymore, he's doing the craziest stuff and just going for it and I love it all <3",Positive
I took an arrow to the heart,Neutral
He's kind face is such an absolute joy.,Positive
"EVERY TIME I THINK I'VE FOUND MY FAVORITE ED SHEERAN SONG, HE COMES WITH SOMETHING NEW! LOVE IT!!!! <3",Positive
Ed is a HIT MACHINE..love that he is having so much more fun with his video's as of late and not taking himself too seriously..This song is a BANGER!!!!,Neutral
In Switzerland Spreitenbach our teacher is a big Fan of you and we even had to dance in Front of the whole school with this Song.,Neutral
"When this song will hit you right; mark my words, you would come back again and again. Such is the charm of Ed!",Neutral
Lol not only he’s the best musician but he always makes me feel much better with his master pieces ,Positive
"Seems to me that Ed changed his image and to a lesser degree, his sound, comparable to The Weeknd’s After Hours image and sound. Lots of glamour and flamboyant outfits.",Positive
Stunning,Positive
Been listenin to this all morning and only then realized it came out like 9 hours ago. No wonder it's got this many views already it's a goddamn great song. Mindblown,Positive
I love how Ed decides the weirdest stuff imaginable for his vids,Positive
Loving it like anything  nostalgia,Positive
Fun fact: Ed Sheeran's music are so addictive.,Neutral
"I love how he just doesn’t care what people think of him anymore..  much love Ed, keep it goin mate",Positive
Ed sheeran makes songs that gives me a different feeling than other artists. Ed sheeran is on a whole  new level,Neutral
Who is listenning to this masterpiece in 2025?,Neutral
"Ed is not scared of stepping out of his comfort zone, he literally tries on any genre and makes it a hit....like every version of him brings out something new and dope...that’s some legendary stuff tho*",Positive
"He is still ""old Ed"" in last two videos, just tries to get empathy with us daydreaming about our lives while listening his songs especially walking in streets. And I think he either does it in real listening Elton John ",Neutral
"Omg why I shiver listening to this . Just my opinion , his albums are what music used to be like from early 2000s and 90s, like guitar background. Not junk on radio they play. But he has made a really smooth transition from his soft -like music to more edgy...  loves it. Definitely his music will play at my wedding",Neutral
"Thank you Ed Sheeran. My 8 month old son has been a severe struggle to feed. Whenever he needs to eat but chooses not to, we turn on your music video and he LOVES you. We can feed him the 6-8 ounces he needs and he gulps it with no trouble.",Neutral
Loving the Elton John vibe/ costume ,Positive
In response to people saying,Neutral
,Neutral
"I love how Ed can literally create any song and it’s a banger. This video looked like a blast to make. I’m so glad that Ed is back with new music!!!! It’s only unfortunate that this wasn’t released before my wedding. We played plenty of Ed Sheeran songs through the ceremony and reception, and this would have been a fun dance song!",Neutral
This song is stuck in my head! I smile ,Positive
I just went to one of his concerts and it was awesome. Love Ed Sheeran and think he is extremely talented.,Positive
Ed Sheeran’s songs itself are so good that is gives me shivers.,Positive
"This song really has the ""it"" factor and i can really see it becoming the song of the year and im already nostalgic to it. Bravo Ed!",Neutral
How can Ed always give us a masterpiece?? ,Neutral
I can't get enough Ed Sheeran. This is his best song. I literally learnt the lyrics in one hour,Positive
"This song has unique vibes and it could be another masterpiece like ""Shape of you"" in future when people from all over the world realize how beautiful this song is.",Positive
Wish good music like this still existed today,Positive
"He's legend in our generation, many singers come and go but he's so  underrated ",Positive
I love how Ed creates a new kind of music every time he comes back,Positive
Warning: This song is highly addictive. ️,Neutral
this song gives me NOSTALGIA more than almost any other song.,Neutral
LOVED IT ️,Positive
"I'm just super enjoying watching Ed relax into his life and creativity, he appears to be having fun doing his job now and the music shows it.",Positive
Ed Sheeran creates music to cry to and dance to at the same time. He truly creates music for everyone’s taste and that’s what I love. I’ve been a huge fan for 5 or 6 years now and he has helped me through so much. Thanks Ed really appreciate it!,Positive
Beautiful Ed love your dancing. Had to have professional training! Just wonderful!,Positive
Ed's every song has a different vibe all his songs are masterpiece,Neutral
I’ve only listened to thirty seconds of this song and it’s already stuck on my head. I’ve been singing this all day. ,Neutral
Part of why I love his music is because of the production and how he's not all autotune. Not calling out other artists,Neutral
You know Ed is a humble guy when he said he was worried that this song wouldn't do as well as Bad Habits,Negative
"Dir: ""So Ed how much effect and light do you want?""",Positive
"I cant forget this beautiful melody after a year, it gives me shivers",Positive
Ed Sheeran`s songs are always the BEST,Positive
"I didn't have Ed Sheeran on the radar for a long time, what a waste of time. He is such a great guy and I literally like every song of him. The slower and his new style is also great. What a song!",Positive
This is a very good song ,Positive
This song makes me dance while I'm ,Neutral
J'adore ,Neutral
a fact: the more you listen to this song the better it gets,Positive
"Four months later and this song is my most streamed song by Ed Sheeran ever, hope he goes on your for this album later this year so I can buy tickets!!",Neutral
How can one hate this guy's music it just gets better and better ginger power rule,Neutral
Beautiful song Ed ,Positive
It’s really really hard to NOT like Ed Sheeran. Everything he touches is golden. Dude is a musical genius and will go down as one of the greatest to ever do it when it’s all said and done,Neutral
I'm so addicted to this song right now! I've even developed withdrawal symptoms already! ,Neutral
First time listen: umm...weird ,Positive
When you call me senorita vibes.....Happy feet,Neutral
"My 8 months baby is in love with this song every time i put it for her she’s always dancing and clapping her little hands, she gets really happy  ",Positive
"What an artistic achievement this song is! Vocals. Video performance and production.  Instrumentation. Mix. Arrangement. The chord changes and that ""bounce"" of the lyrics and harmonies. Damn! It's pop musical perfection. Easily one of the very best examples of the genre.",Positive
I’m pretty much a fan of Ed Sheeran,Positive
This song will always be iconic,Positive
"Ed  you did it again. Just like the song ""Bad habits"" this song ""Shivers"" will be played everywhere .Love it. Thank you <3 !",Neutral
"Every time I listen to this song, it gives me more energy and optimism to face the day ",Positive
people ask me why i still like ed... this is why because he is one  of the best ever.,Positive
been listening since + ,Neutral
This is a great song. I love how upbeat it is. It always raises my spirits when I hear it.,Positive
This track gives me shivers whenever I hear.. it’s on repeat mode !,Neutral
Always a favorite.... classic !,Positive
"I love how he has evolved the genre of his music videos! I am totally here for the fantasy, action. The costumes and makeup designs are wonderful to look at ",Positive
"Really love this song,such a catchy beat. Wanna make me dance everytime.",Positive
"Dear Ed sheeran  you probably won't read this, but I still want to write this comment  For years you have been inspiring me with your soft voice and your talent for dancing, my mother also loves your voice and is always happy when your song plays on the radio. Shivers but also Bad Habbits surprised me so much, your songs have always been good but these two songs and the music video for them are great Please stay the way you are and do your thing",Positive
what good and satisfying music!!,Positive
I love how he’s trying to protect her but she stands on her own and fights the bad guys and only after that he becomes a knight and they fight along as equals!,Neutral
Ed never takes L,Neutral
"Just when you think music couldn’t be better, Ed comes out with a new song & puts the icing on the cake ~ again, again, ….. again.",Positive
This song gives me shivers.,Neutral
"I really love this song, it sounds like a fun song to dance to",Positive
"This song got me addicted to it, i can't stop listening to it, it's a such excellent song.",Neutral
Ed Sheeran's songs are magical. I can't imagine what the whole album will be like. Good job! ,Positive
"Ngl, I like this song but then when I learned how to line dance to it, that introduced me to a woman and man I’m in love.",Positive
I LOVE THIS!,Positive
His old stuff I thought I loved. But my God he stepped it up to a whole new level ,Positive
I simply adore the rhythm of this song...,Neutral
Awesome .. for the one!,Positive
"Reminds me the time when 10 years ago listening to ""the a team"" on Manchester street. I love this whole set of this urban, which encourages me to make meaningful things out in a creative way.",Positive
Ed has inspired me to eat a pinecone!,Neutral
Some people make Ed’s sheeran as a joke but his content is actually wonderful!,Positive
Still not over this ,Neutral
This song is about thoughts inside mind of introvert people ️️️,Neutral
"The music video is everything. I love how he creatively portrayed how it feels to be ""in love"" like looking through each others eyes and see kaleidoscope colors, how waiting for a reply kills you and when they do reply they literally raised you from the dead. And the lightning spark  What a genius.",Positive
"After Bad Habits, here comes Shivers, looking forward to another masterpiece next! keep it up! your songs light up my day! thank you so much",Neutral
Most talented Singer ,Positive
"Our boy Ed just keeps delivering banger after banger, he's phenomenal! Feeling some shivers while thinking of bad habits!",Neutral
"I used to listen to Ed music and everything would just calm down, Now with every new single Ed's got me moving every bone in my body like ,Bro what can't you do?",Neutral
"All of Ed Sheeran's song have Awesome vibes, hits in a different way, and all of them are a masterpiece.",Positive
In dusseldorf the best koncert in my life 🥹🥹🥹great time with my boyfriend ️️️,Positive
Can't stop listening to this song.,Neutral
Such a beautiful voice.,Positive
"I want peace of mind, courage of heart, and loveliness of days for you.",Neutral
Anyone September 2025?,Neutral
"I love this man, hes so good",Positive
Been following this mans music since the A-Team. He’s a musical genius.,Neutral
this song is really perfect,Positive
"I heard this song, as if out of the blue, on the way to work and it instantly put me in the bestest of moods for the whole day. Every Ed Sheeran song, in my opinion, is better than the last !",Neutral
I love this song! Good job Ed for making everyone’s life better a little bit when releasing this song.,Positive
Another catchy song by Ed. I love the way he shows himself in his  MVs  with creativity ️,Positive
He so masculine and how he dance -this always will be wanted,Neutral
The entire world can disappoint me...but Ed never does! All of his songs are great! ,Positive
Me to every Ed's song: Darling you look perfect tonight.,Positive
Never have I ever listened to an Ed Sheeran song just once. They're always on loop ,Neutral
I wish the sapphire pop up didn't block so much of the final scenes. This is such a wonderful music video. I want to show the whole thing to everyone.,Positive
When this tune puts a next level smile on your face....,Neutral
I love this song as soon as I heard it on the radio. Will repeat this song forever..,Positive
I love how this music video manages to portray not only the exciting and fun parts of falling in love but also the awkward and difficult parts too in a fun and super creative way. I can't help but keep watching the video over and over again and each time it reminds me more and more of when my husband and I first met <3,Positive
Ed sheeran is a fricken legend i dont know a song from ed thats bad,Negative
Best Pop singer e composer of the latest decade!!! He'll be always fantastic!,Positive
I just pictured how gorgeous this would look:,Positive
EdSheeran is an angel,Neutral
 happy monday! Singing this song ,Positive
Just started listening to Ed and I love everything he puts out. Sounds like another #1 hit to me.,Positive
"Ed, you are truly the true artist! Besides being a singer, songwriter, you are a creative soul who knows how to go further, Shivers is proof of that. You go further, where you should be: in the firmament of the stars. From Sonia, in Portugal",Positive
"I love how different Ed Sheeran is in his new album especially in Shivers. He's so fun and lovely to watch in here. I'm loving this side of him. We love you, Ed. Keep making lovely music.",Positive
"This song, to me, feels better to listen to at .8 speed",Positive
EVERYTIME I crave a song that gets me motivated and in my feels at the same time is this. Thank you Ed️,Neutral
I don't normally listen to a lot of mainstream music but this song is catchy and has a wholesome message and video.,Neutral
"I love this, gives me Early 10’s vibes with the “ oohs “ ",Positive
The last when they dance is so energetic,Positive
Wait is she the girl from Charlie and the Chocolate Factory? ,Neutral
