comment,sentiment
Who is here because this song just randomly crossed your mind,Negative
He's such a legend. I wanna grow up and tell my kids how awesome Bruno is.,Positive
Not gonna lie his dance still pretty Dope after all this years like for real,Positive
いまさらだけど見つけた！まじでこういう歌好きすぎる️,Neutral
His dance make this song 100X better,Positive
"Bruno Mars is cool and simple. Lucky for him, that's what I like.",Positive
Bruno is dancing..... and that's what i like ,Neutral
1.8 billion views of Bruno dancing in a room. Now that’s impact. Legend.,Neutral
imagine listening to this music at night and strolling in Los Angeles,Neutral
Can we just talk about how smooth burno Mars is at dancing,Positive
whoever edited this is a mastermind,Neutral
this song is 8 years old! That is so crazy,Negative
So basically quarantine has brought us to legendary songs,Positive
"Listening right now at 12:38am, New Year's Day with Family!!!",Positive
The song brings back memories,Neutral
This song doesn't feel like 4 years old,Neutral
Fun Fact : This Song Is Still Legendary.,Positive
久しぶりに聞いたけどやっぱり良いです️,Neutral
"Idk why but after seeing tommy lipsync this, i cant unsee it",Neutral
whoever edited this is a mastermind,Neutral
Who else listens to this great song in June? <3,Positive
This song brings back swt Memories,Neutral
"When Bruno Mars announced that he's making a return: ""That's what I like.""",Neutral
Nobody talked about his dance the dances is like good,Positive
I love this song,Positive
The melody is so catchy  Bruno Mars always knows how to make people dance to every word!,Neutral
This video made my heart smile.,Positive
Billionaire: Dreaming to be rich,Positive
Director: We are low on budget,Neutral
Who September 2025,Neutral
"Girls, Boys, guys, just enjoy this years. 2015, 2016, 2017, perhaps until 2020 o 2021, the music returns like in the 80's. Just enjoy, be free. Nothing last forever!! Katy Perry sounds 80's, Bruno Mars 90's, Lady Gaga is rockabilly 60's, Cold Play and his indie electronic Rock, Ed Sheeran and his clasical pop without production just talent, the Red hot chilli peppers are on the top, Green Day are still young in their 40's and has new disc, The 1975, The ChainsMokers. Adele, Dj Snake, ",Neutral
How can I be still obsessed with thiss ..,Negative
This video is the proof that you don't need a lot of fancy things in a music video if you're talented as hell.,Positive
Song came out when I was in high school and I can’t believe it’s been this long ! At 27 I’m still tuned into this song. Bruno is very talented !,Positive
Tell me who can sing and dance so freakin good nowadays? No one else. He's not MJ. He's Bruno Mars.,Positive
Who's relistening to all of his songs after 'Leave the door open'  dropped,Neutral
"nice to see a video without all the extras, the artist alone is good enough.",Positive
2017 was a huge music era,Positive
People say “one in a million”. I think all of us can agree that Bruno Mars is one in a billion.,Neutral
Don’t mind this song just summoning a full fandom,Positive
I mean Bruno Mars is talented but the editor is too I mean look at those visual affects...,Neutral
like 8 years of legendary songs… that’s crazy man…,Positive
I haven’t listened to this song in two years and the only reason I am back is from a British kid,Neutral
2017: “ this song is so beautiful “,Positive
"This song is the definition of a modern classic, if that even makes sense. Lol",Positive
MY FAVOURITE  SONG ,Neutral
We need VERSACE ON THE FLOOR next. Official video.,Neutral
Before 1M views squad ?,Neutral
The fact that this comment section is alive after 4+ years is amazing,Positive
Coutinho e craque rapaz..,Neutral
"Wait, but, can we talk about ""WHAT A GREAT DANCER BRUNO MARS IS....!!!!!""",Positive
"Ahhh, this is why when watching APT I felt something familiar. APT's MV is very similar to this MV.",Positive
I actually didn’t expect for so many Tommyinnit fans to come here despite of this video having billions of views.,Positive
"bro imagine how popular Bruno still is after all those years… especially this song, prob. my favorite",Positive
"Honestely, breaks my heart knowing i will never see Michael Jackson make a collaboration with Bruno Mars",Neutral
"To everyone who is doing homework, leave the chat, breathe slowly, take a sip of water, and focus",Negative
Comment Section ,Neutral
Isn’t he a great singer?,Positive
People who came from tommyinnit can like,Neutral
* Bruno Reading These 90% of the comments * ,Neutral
Tommy punching the air right now,Positive
I love the melody.,Positive
“Jump in the Cadillac”,Neutral
He attac,Neutral
Comment section:,Neutral
"He doesn't need an extravagant and expensive mv, he only needs Himself ",Negative
Dream better blast this on full volume the next time Tommy visits him in prison.....,Positive
He is not second Michael Jackson . He is the first Bruno Mars..,Neutral
I cannot escape it. All I see is Tommy.,Neutral
Also is no one going to talk about how good his dancing is,Positive
"Imagine TommyInnit not just lip syncing, but dancing to this song as well.",Neutral
Who in august 2025?,Neutral
"This song is now able to summon an entire fandom, Hi inniters!",Positive
"Don't worry, you are not the only person who listens this masterpiece in March 2021.",Neutral
0% nudity,Neutral
Bruno is one of a kind,Positive
Re-listening the song,Neutral
Just close your eyes and imagine somebody doing this dance without the music and special effects.,Positive
50% of the comments: Tommyinnit,Neutral
Brilliant work by the journalist.,Positive
Tommyinnit: Stop it,Neutral
2017 : So cool ,Positive
Who’s sitting here laying down because school is canceled due to corona virus and listening to old songs?,Neutral
The production is top-notch.,Positive
"“Just killed a woman, feeling good.”",Positive
Bruno Mars: Dancing to the beat,Neutral
