comment,sentiment
I've learnt to dance...,Neutral
"Wow, this has been my biggest video launch to date, so chuffed with the reaction. Please keep sharing the video, behind the scenes coming Monday...",Neutral
,Neutral
"Ed Sheeran inspired me to go all in with my music. He was once just like me, an artist trying to get heard. And now he’s on on top. It’s happening for me, and Im not stopping when it does! ",Positive
"Can we all just appreciate the fact that Ed Sheeran danced in this video. He could of gotten any other guy to do this for the video, but he was bound and determined to learn and be the one in the video to dance this. Not many artists would do that,  he slimmed down some and took time to be taught the dance. I just still find it amazing.",Neutral
"Murray Cummings and Jason Koenig made a behind the scenes for the video, give it a watch: Ed Sheeran - Thinking Out Loud (Behind The Scenes)",Negative
This was to be my wedding dance....but cancer took my angel 4 months before the wedding....We only had 3 weeks and 5 days warning that she had cancer...So I married her at the Hospice and we played this song and i danced with her for the last time...she died 2 days later.....I played it at her service and I will dance with her again someday....thank you for a truly great song...I will luv you for ever your buddha bear,Positive
"To anybody who's reading this, I pray that whatever is hurting you or whatever you are constantly stressing about gets better. May the dark thoughts, the overthinking, and the doubt exit your mind. May clarity replace confusion. May peace and calmness fill your life",Neutral
Still one of the best choreograph I've seen. He look so gentlemanly! 100/10 for his effort in dancing absolutely nailed it!,Positive
My wife sent me this song when I listened to it I was in tears because she as a lot of health issue Everytime I hear it she comes to my mind there is no one I want to be in love with then her she is so awesome and so beautiful God put people in your life for a reason and he did a real great job we been together for 7yrs I couldn't asked for anything else in my life just her she has 3kids that love me and I love them my family is complete thanks to her I love you baby...‍️‍,Positive
I had my first dance with my daughter when she was two days old tiny little thing poor baby had an infection soo had to stay in for while at two days old in a staff room in hospital I turned on the radio and this was playing I lightly waltz her in my arms around the room she settled again this song is for you Kamelia my special little girl I could of lost you but 5 years on doing soo well mummy love you. Thanks Ed Sherran ,Neutral
"I've heard this song as part of the playlist at weddings, but it sort of made my eyes well up this past weekend at my son's wedding. As I get older certain things, events and songs, just seem to tug at my heart a little harder. This is one of those songs.",Neutral
1.1 billon (perfect),Positive
October 2024!,Neutral
Anyone September 2025  ?????,Neutral
"I'm just here watching this in quarantine, thinking about my bestfriend. He reminds me of this song. Love you bud.",Positive
Thinking out loud was on the radio and my boyfriend and I were driving and suddenly he pulled over turned the radio as loud as it could go got out of the car walked over to the passenger side n opened the door  got down on one knee n asked me to marry him of course I said yes then we finished the song with a dance  this song is on our wedding song  thank u ed so much for writing this song it's amazing ,Neutral
Damn near 4 years later and this song still got a hold on me.,Neutral
Wish I had a guy that loved me like I loved him. Not one who left when I became chronically ill...,Positive
I can’t believe this song is 9 years old feels like yesterday.,Neutral
Beautiful beautiful song and the video is even more beautiful. Hey Ed Sheeran kilt that dance!,Positive
"""Every time I listen to this, it feels like Ed Sheeran is speaking straight to my heart. Pure magic. ️""",Positive
Only legends are listening this song in October 2020.....this songs literally provides a soothing sensation...... Hit like  if u agree ....,Neutral
Dude...I just remembered how colorful the world was 6 years ago while listening to this song,Positive
don't worry you're not the only one who listens to this song in quarantine,Neutral
My sons 11th birthday today. I used to place him on my chest and dance with him to this. Remember those beautiful days. The words resonate so much . Im a  widow now with an autistic son. We found love right where we are. Always and forever ,Positive
Ed is the best our generation has.,Positive
We're not looking for old songs. But we look for memories in it ,Neutral
"Some songs just don't get old, and this is one of them.",Neutral
This is possibly the best and most honest love song written in recent times,Positive
"This songs will go down in Ages of mankind, breathtaking",Positive
I love this song.... but it reminds me of my sister and her partner that passed away.... this is the perfect song for a very special couple ️,Positive
thinkin' about how this video ends in mysterious ways,Neutral
September 2025 - Let's see how many legends still listen to this iconic song!,Positive
omg I love that dance,Positive
This song for Valentine,Neutral
Can't believe it has been 5 years. Still fresh.,Positive
Anyone October 2025,Neutral
"Just imagine how many people come here every day, this song is really legendary!! I can't get this song out of my head, love this song ",Positive
9 years later still my favorite song reminds me of my great grandparents that passed away together ,Positive
"To anybody who's reading this, I pray that whatever is hurting or whatever you are constantly stressing about gets better.",Positive
"this song is so beautiful, one of my favorites",Positive
Every time I see this video I'm amazed by this dancer who makes Ed Sheeran look like he can dance. She's just that good,Positive
"My dad played this at my moms funeral. They liked each other since they were both in school, and for one of them to die is really sad. I miss you, Mom. I hope your doing well with the Angel's up in heaven️ edit: for those of u that r wondering how I'm doing rn I'm doing fine. I don't really think of my mom's death anymore.",Neutral
2025 and still one of the best love songs of all time and Ed Sheeran's peak. ,Positive
Who is listening in 2017. This song can never get old to me :),Positive
"People never see when I write things on YouTube, but I pray I reach some1. Music is medicine. When i listen to this I go to another world. This song and “Clover Cage - Test These Waters” are two songs that helped me with my depression. I just want people to know it does get better. We are in this together. we not me",Positive
a true song is a song that doesnt die and people still listen to it 7 years later,Neutral
""""" when your legs don't work like they used to before ''' ...... me to my sister when i saw her for the 1st time wearing  high heels",Neutral
2020 is still on bad shape but don't worry songs like this can help cheer us up. Stay safe and live a good life,Neutral
"Beautiful song, beautiful dancing",Positive
I swear this is the best wedding song and why does this video have a dislike button ,Positive
Why I am smiling ️ ,Neutral
Quem está escutando em dezembro de 2016?,Neutral
Anyone October 2025 ? 🫶🥹,Neutral
It's JULY 2021 Let's see how many legend are watching this masterpiece... ️,Positive
i was addicted to this song. ..,Negative
"Esta canción se la dediqué a mi novia, una canción preciosa. Ella usaba esa canción para mis regalos y eso, siempre ponía esa canción. Ahora yo necesito entrar aquí para escuchar la canción, pues ella, esta en un lugar mejor, y sé, que desde el cielo escucha la canción conmigo.",Neutral
"Probably no one will read this,  it I need to say it. Music is my therapy. When I listen to this I go to another world. This song and (Clover Cage - Test These Waters) are the two songs that helped my depression. Just want people to know it does get better. We are in this together",Positive
"Still jamming to this song after so many years, it never gets old️",Positive
Cadê o pessoal q está ouvindo essa música em 2020?,Neutral
2021 and don't ask who's still here because we never left.,Neutral
'''when your legs don't work like they used to before'' ..--Steven Gerrard --- Liverpool v Chelsea ... Apr 2014,Neutral
We all have one person in mind when we listen to this.,Neutral
Ed needs to be on Dancing With the Stars.,Neutral
" “This song is pure magic  Ed’s voice and lyrics capture love in the most beautiful, timeless way.”",Positive
Ok I'm already in love with someone that doesn't exist wow,Positive
One billion.,Neutral
Ed - ,Neutral
"Truely beautiful,  this is how genuine love is ",Positive
This was the song my dad listened to before he died i still miss him today,Neutral
"7 years later, if your still watching this, your a legend.",Neutral
6 years later this song is still good,Positive
Always and forever ️,Neutral
Who’s listening to this beautiful song 2020  to feel some peace from the virus ,Positive
THE BEST WEDDING SONG EVER ,Positive
alguém escutando em dezembro de 2016,Neutral
My main reason for watching is her. I can’t get over how amazingly wonderful she dances,Positive
2018? Anyone?,Neutral
Ed Sheeran became the first and only artist to have 2 songs more than 3 Billion views. #sheerio,Positive
2019 ??,Neutral
"I never stop listening to this song, and this singer's voice is very good to hear.",Positive
I think this video will reach a billion view on valentines day.,Neutral
how many are watching today?,Positive
"Never old, but always gold. ️",Neutral
"this is so beautiful. love the voice. divo. and the dancing. this is just what you look for. the real. the true. we're fans. th e sereteii. we see. we.watch. we know. we say too. we're her. the seretei, ",Positive
2:30 - 3:30 fun fact Harry Styles was the vocal support for this part ️,Positive
"""When I was six years old I broke my leg""",Neutral
I'm listening to this amazing love song as my husband is having open heart surgery... 40 years together... I want to hear him play guitar for me again...,Positive
this is the song which can make you want to fall in love with someone ,Positive
What books you have to read in your childhood to write such a beautiful songs? :0),Positive
I cant believe this song is 6 years old already.,Neutral
