comment,sentiment
"Either You are in a relationship or not, this song hits everyone Somewhere.",Neutral
"It hurts when the person you made memories with,",Neutral
"12 years later, if you're watching this beautiful song, you are a legend",Positive
"My favorite song, good bro!!",Positive
This the music that you listen to when the homies aren’t around,Neutral
Bruno Mars is a DAMN GOOD MUSICIAN!,Positive
"From "" When I was your man "" to ""Die with A Smile"" .......Bruno is a gem and an eternal singer ",Positive
Back then it was just a song,Neutral
It's crazy how many people come back to this everyday. This song is legendary,Neutral
This songs hurts proper when you’ve actually found love and lost it,Neutral
This song is absolutely timeless and i will never stop listening to it,Positive
"I’m not heartbroken, but this song really makes me calm.",Positive
Lyric ,Positive
one voice...,Neutral
Nobody:,Neutral
I can’t believe this song is 8 years old feels like,Neutral
THIS is Bruno's best song. Wish he realized that.,Positive
Who still rockin with this song 2019,Neutral
I can’t believe this song was 7 years ago damn,Neutral
"So many memories, so many beautiful thoughts on this song .",Positive
"I'm listening, July 2, 2019.... love his music and his voice!!!",Positive
2020? Bruno mars,Neutral
song actually hits different when you're heartbroken,Neutral
In a relationship or not this song hits everyone somewhere.,Neutral
Crazy how I used to like this song a lot when I was young. Never thought I’d end up relating to it. Remember people; learn to appreciate what you have when you have it. God Bless,Negative
"People never read my comments on here, but I always try. Music is medicine. When i listen to this I go to another world. This song and “Clover Cage - Test These Waters” are two songs that helped me with my depression. I just want people to know it does get better. We are in this together.  youu",Positive
Bruno Mars is a fucking legend,Negative
This song hits you so hard if you have broken up...,Negative
This song is so legendary that everyone keeps on coming back here. Bruno is the best vocalist of this generation!,Positive
"Same bed, but it feels just a little bit bigger now",Neutral
This song makes me miss my ex that doesnt even exist... just hits different!!,Neutral
"It's been over 9 years, now it's 2022, and yet it's still breaking records and hitting charts. He is timeless.",Neutral
"I’m listening to old nostalgic music before 2019 is over, F",Negative
This song is incredible. Absolutely beautiful. Rest in peace all the Angels who are dancing in the sky ️,Positive
You never know how much someone means to you until you don’t have them around anymore. Beautiful song that still hits today.,Positive
"Let's be real here, we all miss ""old Bruno""",Neutral
Is it only me or is this song just soothing it’s just FANTASTIC,Positive
"No word of a lie , this song saved me a little whilst I was recovering in hospital after having my youngest son and almost dying. He just turned 13 in May. His dad isn’t here with us anymore but I get to enjoy the gifts and blessings he never could. This wee tune takes me back to a time of possibilities. ",Neutral
"10 anos se passaram e esse hino ainda me faz chorar sem parar, vai se passar muitos anos e podem acreditar, essa música nunca vai morrer, nunca vai existir alguém como o Bruno, o cara é uma lenda🇧🇷🇧🇷🇧🇷",Neutral
Someone break brunos heart so we can get good Songs like this .,Positive
Comments: Who's listening in 2021,Neutral
2025 and still vibing... Love you Bruno!,Positive
This song hits differently especially after a breakup.,Neutral
"When your heart is broken, you really understand this song",Neutral
my grandma told me about Elvis Presley ,Neutral
Its crazy that this song is 8 years old today,Negative
"I was having a Bruno Mars marathon. Why not, he's a good singer and I miss his era.",Positive
One of the best songs ever.,Positive
It's been six years and yet this song never fails to make me sad until now.,Neutral
Being in quarantine and just got out of a relationship with this song on hurts,Neutral
this song makes me wanna cry it’s written with so much passion and sung with some much emotion,Positive
The harmony is wonderful.,Positive
This song ages like fine wine the older it gets the better it tastes that’s how I feel about this song  ,Positive
Shoutout to everyone who can’t get over someone,Neutral
This has everything,Neutral
September 2025???,Neutral
"I remember the first time I heard this song. The smartest, funniest, most responsible, most caring, most beautiful woman I have ever known had just broken up with me. And this brand new song happened to come on the radio. And it detailed everything I did wrong. ",Positive
Anyone in October 2020? ,Neutral
Valentine’s Day is an hour and I’m listening to this song..,Neutral
Bruno Mars song is always on my head since 2011,Neutral
