comment,sentiment
"For the 1% of the people reading this, I hope you become successful in your life! ",Positive
"Dear everyone that's reading this, we don't know each other but I wish you all the best in life. ️",Positive
September 2025 anyone??,Neutral
"This song reminded me about my girlfriend.....she was passed away due to cancer....and she ever said to me like this ""Darlin, if i lost from this world, don't worry...i only leave you from this world. But your heart is mine"" ",Neutral
Me and my girlfriend used to cuddle and sleep to this song.,Neutral
This song hits me so deeply when i think about my brother and his passing. I wish I could turn back the clock and make sure the light defeated the dark demons in his world. I wish I could bring him back and fix what was broken in his heart and soul.,Neutral
My boyfriend sent this song to me. He said it was to let me know that I’m the reason for everything he does for me and that I’m his heart and his happiness. He doesn’t know how much I have cried. I love him so very deeply ,Positive
God bless Simon for smashing that golden buzzer when he did,Positive
My 3 month old baby loves this song. It calms him down every time he’s out of control and puts him straight to sleep. Thank you for this song ,Neutral
Kodi Lee America's Got Talent brought me here such a lovely INSPIRATION ,Positive
2025 anyone,Neutral
"''hurting someone's feelings is as easy as throwing a rock in a ocean,but do you know how deep that rock goes…",Positive
"Beautiful voice, Beautiful man ",Positive
This song is not just about your girlfriend or boyfriend...it's about the people you love....it's about the people you can do anything for...,Neutral
Anyone today???? ,Neutral
"I am in the military, I haven’t seen my family in 6 months, Mother’s Day is coming and I won’t be back for that and I missed my sister and brother’s birthdays, if u have your family bye your side, cherish does moments, love them with all your heart, because I for sure took does moments for granted.",Positive
Love this song.  So relatable,Positive
I love this song. I love everyone reading this. And Jesus loves you too. ️️,Positive
If you read this,Neutral
That golden buzzer was so worth it,Positive
My friend killed himself during december and my heart still aches so bad for him and I miss him so much,Negative
My husband and son both died and this song expresses so many of my feelings of grief and loss.,Neutral
Perfect voice. Pretty man,Positive
This song just connects so well in those empty spaces back in my heart ,Neutral
Singing this rn to my unborn baby. Almost 15 weeks & he/she is supposed to be able to hear sounds and my voice. ,Positive
وَقُلِ الْحَمْدُ لِلَّهِ الَّذِي لَمْ يَتَّخِذْ وَلَدًا وَلَمْ يَكُن لَّهُ شَرِيكٌ فِي الْمُلْكِ وَلَمْ يَكُن لَّهُ وَلِيٌّ مِّنَ الذُّلِّ ۖ وَكَبِّرْهُ تَكْبِيرًا,Neutral
Still one of the most powerful songs ever written 4ys ago and it still has a massive impact on people to this day,Positive
I can not get enough of this beautiful song. I've never heard anything as beautiful as this. The strong meaning behind this is just breathless..Love you Calium and love all your songs..Watching a concert  on TV and utube on phone   Calium your such a beautiful person inside and out. ,Positive
I lost my childhood friend four years ago I still can't forget her.,Neutral
There goes my heart beating,Neutral
This song will forever have a special place in my heart,Positive
"Makes me think honey we fix whatever broken... Babe  this is us, we trust In God he help us fix everything!! In the right time my love !!",Neutral
"Every time I hear this song , I can’t stop crying. It does something to my soul. So very beautiful. ️️",Positive
"This pandemic has caused a lot of problems for us all. I am my family's only source of income because our business closed. I'm helping with the utilities and paying off my dad's loans and with just a little prayer and faith, we have already paid like 65% of his debt and my uncle is now going to help us too by sending us money every month. My family, my friends and my partner in life are the reasons why I keep going 100% every single day at work. Sometimes we have to find our reason to keep going at it every single day.",Neutral
This is for my little bro who never made it to earth. Love you bro️️️,Neutral
Absolutely beautiful Amazing incredible powerful song ,Positive
brings tears to my eyes everytime I listen.  your voice hits the heart.,Neutral
To everyone reading this I hope that you find your soulmate very soon .. sending love from Jamaica ,Positive
One of the most beautiful love songs around.,Positive
"0:49 This part fits so perfectly with the drama, When Life Gives You Tangerine, It explains their story so wellI'm in love with this song  ️ so nostalgic ️ ",Positive
"Same here , Kodi Lee.",Neutral
She was the reason,Neutral
WHO ELSE CRIED WHILE READING THE COMMENTS :(  LOVE TO YOU ALL WHO LOST SOMEONE OR CAN RELATE TO THE SONG IN ANY WAY!,Neutral
With everything going on.. this song is my love letter to God…,Positive
Life is hard but still some things are worth living for,Neutral
Imagine how many people come back to this song after losing someone & then realising they were the love of their lives!!,Positive
Almost 2022 and I'm gonna cherish this song for the rest of my life. As I get older I know this song is teaching me how to value things before it's too late. What beautiful lyrics ..,Positive
"Anyone listening to this in September also, such a beautiful song!",Positive
"Still here in May 2019. One of my fav. Love you, Callum, from Jamaica🇯🇲",Positive
"To find a love that heals your heart and comforts your soul is priceless. Hope everyone finds it, for we are here for a moment. God bless :)",Positive
Lesson learned:,Neutral
"Feels like yesterday this song  was released, but 7 years damn...time flies",Neutral
It's 2022... And This song still touches my heart ,Neutral
"Dear you, whoever is reading this, You are the Reason someone's heart is beating ",Neutral
% divine voice,Neutral
I love love love  this song,Positive
"Have anybody ever said "" I m fine"", with eyes filled with tears.",Positive
"I loved it, very relaxing.",Positive
"Whoever reading this, God knows what you are going through, He heard your cry, He is going to deliver you Just trust in him. Amen.",Neutral
오늘 이노래를 처음 들었어요 지금 내마음이 이노래와 같아요 저 지금 울고있어요 댓글쓰는 이순간 제눈에서 눈물이 흘러요 마음이 너무 아파요 그리고 답답해요 하지만 당신의 노래가 절 위로해줘요 감사해요,Neutral
Oh my god. I remember watching him on BGT and getting that golden buzzer from Simon... He’s grown so much!!!!,Positive
"i'm fallin in love with this song,  everyday !!!! it's reminds me of the people who always support me when i was down...  Thank you @calumscott  for what you've done.. keep inspire us with your talent... Loveeee you so much from Indonesia !!",Neutral
i lost my wife to covid but she is the reason  i keep going  x,Neutral
"""It’s not just music, it’s therapy in disguise .""",Neutral
Kyiv is beautiful!,Positive
I lost my brother and this song made me remember him. I miss him️,Neutral
Did you ever just feel like crying for no reason?,Negative
it makes me cry,Neutral
New legend song are born.,Neutral
Whoever sees this comment may ur parents live for  years,Neutral
This singer is very humble and down to earth.... I still remember his first ever audition in AGT which made him become who he is today .... I love every songs of yours .... may you Strive harder and stronger... lots of love from my side ,Neutral
"Song that feels like a home. Warm, comfy and never get bored.",Neutral
Everyone who reading this i hope you will found someone that will completely your love life...,Positive
"No cursing,",Neutral
I can't get enough of this beautiful song. Thank you Calum for giving us such beautiful and inspiration songs. Love you and God Bless you ,Positive
Wish every heartless person could listen to this. Just too much meaning of life in this song. Wish y'all good life,Positive
No Word can describe this Song !!!,Neutral
One of my fav song..still listening 2019,Neutral
"I Love this song, i guess that today was the day to remember this amazing song. ",Positive
When the right lyrics get put with the right melody get sung by the right voice = magic,Positive
"She is the reason why I can’t sleep because I love her, she lives far away- Long distance relationship during this time is so hard.If I dont do something soon I will maybe lose her. Its been half year with less contact, but everytime we write or talk, we remember! at the same time I am scared to live without her.. because she may be the one.. And what is life without your other half?",Neutral
"Once a famous person said,",Positive
I love this song so much.  You keep moving hearts and souls with your voice. ,Positive
3 years later I can still wake up in the middle of the night to listen to this song. Indeed I feel uplifted anytime I listen to this,Neutral
My love died last year and this song reminds me that and im still love her i can't forget her,Positive
I saw this comment,Neutral
Its Making Me Cry!,Neutral
This Song Deserves 1 billion views,Neutral
"My father passed away last Thursday, he dedicated this song to my mother of whom he’s been and known with since he’s been born️ they’ve been married for 29 years although this anniversary, which is their first ever anniversary away from eachother he was in the hospital with COVID-19.",Neutral
This comment section gives me hope for humanity.,Neutral
"Клас! Кліп знімали у моєму рідному місті, Києві, коли тут ще не було війни. Зараз ця пісня для мене актуальна як ніколи - я втратив сина і дуже за ним сумую ",Neutral
"Me and my grandmother used to listen to this song everyday together when we went out to eat or spent time together every minute. She had unfortunately lost the battle to lung cancer and it destroyed my entire world. This song makes me cry when I hear it, but it also brings a smile on my face because I imagine her being with me as I do everything we did together. We had such a strong bond. Before she died, family was with us to be by her side. She looked at everyone and said: ""When someone you love has died and you think they have been taken from you, they are still with you. In your heart, your body, and your soul. They want you to be happy and carry on. I will always be here for you and show a sign every now and then when I do. I will make sure you can see me. I love you all."" She then looked at me and said: ""Oh my special boy... You will always be my number 1. Take care of your mother and your family for me. I will always be with you darling"" She had passed away with a smile on her face and hold my face still. I cried so hard I dropped to the floor and it hurt so much. I promised her I would take care of everything she did. She gave me everything she had. I moved into her house and do everything we did together. My kids and wife know I suffer still and they do exactly what my grandma did. I miss her so much...",Neutral
"We have Sam smith, Ed sheeran, Adele and now Calum Scott. They really bring emotion to every song they sing. We have another brilliant singer in the line up.",Positive
"June 2021, you aren't the only person who listening to this masterpiece!",Neutral
この歌声が最高！,Neutral
this song will be my wedding song.,Neutral
2019 and still amazing,Positive
2020 still can't get enough of this song!,Neutral
Tell you're loved one's that you love them because tomorrow isn't promised x,Positive
"This Song Has allot of REASONS and meaning of LOVE..There's Love From Boyfriend/Girlfriend,Love From Our Parents,Love From Best friends,Love With The same gender,..I Cry so much... And I love this song",Positive
"“If I could turn back the clock, I’ll make sure this song’ll never stop”",Positive
I'm single.. But this song made me cry,Neutral
Who's watching in October?,Neutral
"If you watching and hear this song on 2020, you are legend",Neutral
Who is here with no girlfriend or boyfriend but he/she love this song?,Positive
"""I love you 3000."" ",Positive
Hope you are finding that true love one day.,Positive
my father died and i cry ,Neutral
I know this guy from got talent. It's great seeing how far he went!,Positive
"So emotional. I’m thinking of you, New Zealand! ",Neutral
Beautiful Song. Beautiful voice ,Positive
It's August 2021 let's see how many people are listening to this masterpiece..... ️,Positive
Who's still watching this? Just loved this song soooo much,Positive
Kodi Lee from AGT made brought me here! Amazing and beautiful song!,Positive
"My heart breaking i need you now. Every minute keeping you safe. Fix what is broke n God. Your the reason, i need you to hold me tonight.  See this is the true me. I live you. Me and God.",Positive
I really hope this becomes a classic.,Neutral
Imagine how many people are listening with you right now,Positive
this song brings me calm and peace xx,Positive
I miss my son so much RIP sweet Andrew. I wish I could spend every minute keeping you safe. I would climb every mountain and swim every ocean ,Positive
Whenever i hear this song i still love her even she’s gone,Positive
Let's see how many people's watching in October 2020.,Positive
Don’t worry. You’re not the only one listening to this masterpiece in 2021,Neutral
 YOU ARE THE REASON      SO BEAUTIFUL️,Neutral
Beutiful song,Neutral
"It's almost heartbreaking to watch him roam around alone, especially in the end, when it seems like he's finally glad to see that guy but then a girl comes and kisses him...Poor Calum's dancing on his own",Positive
Lost my husband from Covid19 Back in April 2020- Never thought this could happen.,Neutral
Dios mío puedo escucharla 100 veces en un día que cosa más bella y el piano es perfecto,Neutral
You are the reason. ,Neutral
I  dedicate  this song to my beautiful grandmaa. .she has last stage cancer. .I wish I could do anything for her ,Positive
Sometimes some songs are not judged by it  views it's is judged by its emotion,Neutral
There goes my heart beating,Neutral
It makes me cry so hard....,Negative
Who just randomly came to this song in september 2020,Negative
"Whoever u are, no matter what happen to u today, keep smile:)",Positive
"i am japanese🇯🇵。I really love this song️ It's summer in Japan and it's hot, but listening to this song helps me to persevere",Positive
"Either You are in a relationship or not, this song hits everyone Somewhere.",Neutral
"433m views no nudity, violence, drugs just pure class and love!",Positive
under appreciated.,Positive
Heart touching song!! 🥹,Positive
I’m still hearing you Callum I’m right here July 2019,Positive
"Calum Scott , James Arthur , Sam Smith",Neutral
The only problem with this song is that It ENDS !,Neutral
One of my fav️,Neutral
If I ever get married this song will be in my playlist,Positive
This boi came a long way from Britain’s got talent,Neutral
It’s 2022 and I still can’t get enough of this song.. and Calum’s angelic voice makes it new each and every day,Neutral
Gracias mi amor por tan bella canción ,Neutral
1:38 I understand that pain I lost my grandma 10 years and 4 months ago and she was my best friend and I think at the time my only friend. She died because of me but I wouldn’t change a thing,Positive
Who is replaying this song ,Neutral
I had a bad day .,Negative
What a voice so much feeling tugs at the heart and soul,Positive
You Are My Reason Mom And Dad...,Neutral
To all the people who lost their family in this pandemic.,Neutral
The saddest part of life is when the person who gave u memories become a memory ,Neutral
I love this song ,Positive
The most depressing part of life is when the person who gives you the best memories becomes a memory.,Positive
"Don’t worry, your not the only one still listening in July 2021.",Neutral
17 august 2019 .. i hope you all have nice day !!!,Positive
This song will always be my #1 for so many reasons  and some songs may come and go but this soNG  will live on for Eternity ️,Positive
I hate the feeling when you have to say goodbye to someone you want to spend every minute with.,Negative
"The years have changed but it's still a song that plays on the playlist, deep song. ",Neutral
My favorite song in 2019 ,Positive
Amazing. ... what a loving tribute to his mom and dad...wow. so cool,Positive
This songs hits different when you lose someone you can't get back,Neutral
Wish the world became a better world for all people in they life...,Positive
"We don't search for old songs,  we search for old memories ",Neutral
Wunderschön ,Neutral
"Sorry my little brothers I didn't get a chance to hold u in my hands, rip little angels ",Negative
THE VOICE ,Neutral
If Kodi Lee brought you here... ,Neutral
"There’s a powerful truth in this song — thank you for the emotion, even though it’s sad. Sending a heart to everyone who needs one right now ",Neutral
I’d climb every mountain and swim every ocean just to know what it feels like to be happy again.,Positive
It hurts when someone you love doesn't feel the same way about you.,Positive
I just saw your concert. love from indonesia 🇮🇩,Positive
CALUM SCOTT️,Neutral
"When someone loves you, the way they talk about you is different. You feel safe and comfortable.",Positive
"You listen to music when you’re happy,you understand the lyrics when you’re sad.",Negative
This is a beautiful song️,Positive
This is such a beautiful song. I’m hearing it for the very first time.At this time in my life I believe I have finally found the one.This honeymoon period is such an awesome experience and we will work very hard to keep this period and this beautiful song in our hearts forever .Best of luck  and love ️ to everybody here.,Positive
"A famous quoter once said ""be brave to tell someone that u love him/her or be brave to watch him/her be loved by someone else"" ",Positive
"I dedicate this song to my dog, Coco Chanel. 16 years was not enough. I miss you",Neutral
Stop saying who is here in august 2020??,Neutral
"Está canción me recuerda a mi hijo que  en un abrir y cerrar de ojos ,se me enfermo y nunca le encontraron nada ,los médicos duró 6 meses nadamás y el nos dedicó está canción aún recuerdo sus últimas palabras que me decía que el no quería irse sin mí y que también no quería morirse aveces existen muchas personas malas que les gusta a ser daño....ya casi cumple 2 años y 5 meses  que se fue y aún no logro superar su perdida es un inmenso dolor muy profundo que mi corazón..... siente demasiado dolor y un gran vacío ...... seguiré esperando mi turno hasta volver a verte mi querido Sam ....",Neutral
