comment,sentiment
This is a lot better than the 2018 rewind R.I.P,Positive
Back here after 2019 rewind and this is so looks sm better now,Positive
yeah.. I'm here after watching Youtube Rewind 2018,Neutral
life don’t feel like this anymore,Neutral
Much better than YT rewind 2018,Positive
I’m from the future and future doesn’t look good,Positive
we should've been more grateful for these old rewinds...,Positive
"Ahhhh the good old days, anyone watching this in 2025? you'll know what i mean i miss these days.",Neutral
I came here to refresh my eyes after watching the 2018 one,Neutral
Who came here after watching YouTube rewind 2018?,Neutral
2016: 540k dislikes in 3 years,Neutral
stopppp this is so sad n nostalgic i miss being a kid ️,Negative
Anyone here cuz of 2019 rewind and why does this look 10times better now,Positive
yup,Neutral
I'd give this a 10/10 compared to YouTube rewind 2018,Neutral
"Man, i miss 2016.",Neutral
Im waching this just to forget youtube rewind 2018..,Neutral
Last good Rewind,Positive
When Pewdiepie was actually in rewind,Neutral
Man... I miss the 2010's not gonna lie,Neutral
"I used to think this was meh, but after watching rewind 2018 this is like god tier.",Neutral
who is here after YouTube rewind 2018 ?,Neutral
Yet another year has bitten the dust. Congratulation YouTube. You've given us all a wonderful year full of awesome memories.,Positive
Youtube... please give us another rewind.,Neutral
Who is here after YouTube ruined the Rewind of 2018??,Neutral
who is here to cleanse their eyes and brain after watching 2019 rewind,Neutral
"Looking back, this was actually a masterpiece",Neutral
I miss this era sm,Neutral
This is godlike compared to this year’s disaster...,Neutral
"""So guys, apparently we control rewind this year. What do we do?""",Neutral
Everyone drink me because of this years rewind,Neutral
I’m from the future. Stay here guys it only gets worse,Neutral
This is the last best rewind,Positive
Definitely better than 2017's tbh,Positive
This is a rewind....,Neutral
you never know how good you had it until it's gone,Positive
Youtube 2018: Is it too late now to say sorry?,Negative
40%memes,Neutral
Anyone else here after being disappointed in 2018,Negative
Probably the best youtube rewind they ever made,Positive
WE WELCOME ALL REFUGEES FLEEING REWIND 2017!,Positive
the last rewind before it became shitty,Neutral
Lol when this first came out I was honestly so disappointed and was just hoping the next year would be better. Now I'm actually loving this rewind after watching the monstrosity of 2018's. I miss when I used to be excited for each rewind to come out.,Positive
Can smell the corporate HR from here,Neutral
Who just watched the 2017 and just came to ckeck out the 2016,Neutral
I love how 2017’s has already more dislikes than 2016’s,Positive
I recognized the 90% youtuber,Neutral
Where life peaked,Neutral
I think this was the last rewind that was good ,Positive
Hopefully the 2019 Rewind will actually be good.,Positive
"Look at them having fun in youtube, those faces you never find in 2018's rewind.",Positive
Bring rewind back #1,Neutral
The fact that The Rock and James Corden get more time than Pewds completely encapsulates one of YouTube's biggest upcoming problems.,Positive
2018 Rewind wasn’t a “rewind” it was more like a Fortnite advertisement,Positive
The last year that they included pewdiepie,Neutral
"I'm hoping I myself some how get teleported back to these days/times again because everything nowadays feels and looks empty, and depressing, and dry ",Neutral
Solo vine por nostalgia y para curar el trauma del 2018 jajajaja :v,Neutral
This video isn’t as long as YouTube Rewind 2017 but all the people in here got wayyy more screen time than in 2017.,Positive
Pewdiepie vs T-Series battling for most subscribers,Positive
They should bring rewind back.,Neutral
legend at 1:43 this is why we watch the old ones.,Neutral
Who else is here cause rewind 2019 isn’t even a rewind,Neutral
At least The Rock didn't say he wanted Fortnite in YouTube Rewind,Negative
I’m from the future… please take me back,Neutral
save these words,Neutral
This was the last good rewind. ,Positive
*whos watching on 2018 December,Neutral
2016 was a very nostalgic year,Negative
OH..MY..GOD my favorite. This year was so emotional for me. But THIS.. This was my favorite out of all the years. And I feel that next year will be even better. Thank you. I watched it like 10 times. It is so amazing how the year flies by. I feel like I just watched 2015 Rewind yesterday. Thanks. Love you YouTube.,Positive
I'm trying to find a comment that was actually from 2016,Neutral
This was so fun!! Thank you YouTube <3!!,Positive
PLEASE COME BACK 2016 ,Neutral
Each year I recognize less and less Youtubers.,Neutral
Who is here from youtube cringe rewind 2018,Neutral
Apparently I didn't watch youtube at all this year...,Neutral
"i used to hate on this, but im ngl the nostalgia is getting to me lmfoaa, the songs especially im lowkey starting to enjoy this video",Neutral
WAYY better then the 2018 garbage,Positive
The YT rewind 2018 is soo bad ,Negative
Unfortunately it seems that this is the last good yt rewind.,Neutral
"Dear God, please take ALL my opps and bring back Youtube Rewind",Neutral
"The Youtube rewind starts with a song saying ""sorry"".",Negative
Let’s just hope 2019 is better than the disaster we know as 2018,Positive
"Gonna set this as my alarm, so I will get up really fast. To stop it.",Positive
"Middle school was so fun in 2016, really wish we could go back",Neutral
How did we get from here to the 2017 one?,Neutral
"Every year a yt rewind comes on, IT GETS WORST !1!1!1!1!1!1!1!1!1!1!1!1!1!1!1!1!1!11!!1!1!1!1!1!1!1",Negative
kid of 2016: 2018 is going to be great,Positive
BRING BACK 2016 ,Neutral
Who is here after disliking 2018 rewind !!!,Neutral
Am I the only one who didn't know 80% of these people,Neutral
Who’s REWINDING through the REWINDS after watching the disappointment of we call 2018...,Negative
2016 memories ,Neutral
Did anyone else not know half the people in this video?,Neutral
Vine a recordar lo que era un buen YouTube Rewind.,Neutral
imagine youtube rewind getting a copyright strike,Neutral
Memories man,Neutral
This was a lot better no cap the rock was in here it ACUALLY shows people I know,Positive
Loved it lol so good guys congrats on another great year,Positive
.Am i the only person who dosent know half of these people??,Neutral
Last time we all were united.,Neutral
YouTube: sees all the disklikes on 2018 rewind. ,Neutral
1:43 you're welcome,Positive
The Irony is...,Neutral
"2019 rewind sucked, and that's why we back here.",Neutral
1:41 last rewind for him,Neutral
I watch Youtube daily and I've never seen 95% of these people.,Neutral
Old YouTube Vibes,Neutral
Who went her eto check if it's better than the new one ;D,Positive
I want youtube rewind back,Neutral
Back when Rewinds actually had way more likes than dislikes.,Neutral
Best time to live on,Positive
i edited this comment and now the replies don’t make sense,Neutral
"We can all agree on one thing, we will never speak of 2016 ever again.",Neutral
When 2017 gets roasted by this vid..,Neutral
I remember waiting for a Youtube rewind every new year. Good old days,Positive
"For some reason, I thought Filthy Frank was gonna be here...",Negative
That was okay. Had some particularly good points. But I think we can all agree that 2016 was a year we don't want to rewind anyways.,Positive
"POV: you’re hear after 2020 rewind was horrible, no I’m not a time traveler I just know these things",Negative
I miss these times/days...,Neutral
surprised they didn't add clowns,Neutral
The chainsmokers: “we ain’t ever getting older”,Neutral
Pretty sure YouTube avoided adding any memes into this,Positive
"Nostalgia dms, foi a melhor época do YouTube",Neutral
yo who is here after watching the boring 2019 rewind,Negative
That awkward moment when YouTube spend their time making a rewind instead of fixing their broken website.,Negative
"Think I'm well behind on famous YouTubers, only recognised about 5 people. .. am I the only one ?",Neutral
"2025. We are from the future, we missed u guys...",Neutral
who the hell are 95% of these people?,Neutral
Just here before 2019 rewind is a total disaster.,Neutral
This has everything except for what was relevant on YouTube in 2016,Positive
bro why 2016 is more happy and colorful than 2025,Positive
Nice video but my god what a shitty year,Positive
"Am I the only one who doesn't know 85% of these ""youtubers""?",Neutral
Rewind 2016: Pokemon Go,Neutral
Miss it,Neutral
0:33 You should be sorry in 2018.,Negative
Where the hell is:,Neutral
The last participation of PewDiePie ,Neutral
i miss being a kid with 0 problems,Neutral
I don't know 90% of the people in this video,Neutral
You forgot Harambe,Neutral
woow  Where the hell is:,Neutral
"I'm from the future future, and it is not something you wanna be in",Neutral
"Happy New Year! If you're reading this, I'm wishing you a wonderful 2017 ",Positive
The ultimate 2016 challenge is getting through this whole video.,Neutral
Not gonna lie I didn't know about 80% of these Youtubers this year...,Neutral
bring REWIND BACK AND MAKE IT BETTER THAN 2018,Positive
"No Filthy Frank, idubbbz, and not even h3h3.",Positive
Waiting for filthy frank to be in youtube rewind smh,Negative
"Well, this lives up to the 2016 name. This is by far the worst Rewind they've ever done.",Negative
Watching this in 25 hurts,Neutral
When you don't recognize over half the people in the video... ,Neutral
Who are half of these youtubers? I've never seen half of them before,Neutral
The worst YouTube Rewind for the worst year in the last decade,Negative
"I'm also from the future, and it’s gotten a lot worse. But all we can do is hold on and hope for the better, so let’s keep going!",Neutral
"Makes me sad that YouTube only includes YouTubers that fit the ""YouTuber"" mold. ",Neutral
"Now you have made this, can you fix the algorithm with subscriber loss :?",Neutral
