comment,sentiment
My fiancé died on July 29th 2024. He loved Bruno mars and I am a huge lady gaga fan. He would have absolutely loved this song and it's exactly how I feel about him <3 thank you.,Positive
Everytime Bruno open his mouth it's spilling honey and gold  how is every song he is in so good,Positive
"Best Video, Best Song, Best Duo, Best Wig, Best Mustache, Best Cigar, Best Dance, Best Uniform, Best Artistic Compliment... basically, the best of everything.️",Positive
I missed those random artist collaborations we used to get back in the 2010’s. This has those vibes and I’m all here for it.,Negative
I didnt realize how much I have missed Bruno's vocal until this banger dropped  his high note is everythinggg,Neutral
This is the pinnacle of collabs I've ever seen. Lady Gaga is truly timeless,Neutral
2010 artists really just randomly came in and dropped the hardest serenade in the decade,Neutral
"This song is so new, but it feels so old. Lady gaga and bruno mars are both legends.",Neutral
I don’t think it’s humanly possible for Bruno to NOT make an absolute banger every time he drops ,Neutral
"Who knows why Bruno and Lady Gaga have been in the music business for decades, yet they continue to overshadow the younger generations.",Neutral
"I couldn't believe my eyes, I LOVE surprises like this no teaser at all no announcement, just the music right away.",Positive
"Imagine waking up and being an icon. The voice of an angel, really. Missed you Gaga",Positive
Whoever decided to pair these two together for a song is a genius. Thank you.,Neutral
Who's listening to today 29 September 2025?,Neutral
Lyrics:,Neutral
"This is everything that is missing from music these days. Vocals, harmonies, proper enunciation, songs longer than 2 minutes, epic bridge, non boring chorus, not catering to tiktok. Im in love ",Neutral
"Lady Gaga is truly timeless, talented, and multi-faceted. Legend.",Positive
"I’ve added this to every playlist: sleep, study, chill, sad, happy – all of them ",Neutral
Bruno Mars and Lady Gaga out here carrying the entire goddamn pop genre on their shoulders.,Neutral
This song came out yesterday and my boyfriend bought me flowers and left me a note saying that this is the song he wants for our wedding. It was beautiful.,Positive
These kind of lyricism is missing from most of the song releases nowadays. I'm glad we still have songwriters like Bruno Mars and Lady Gaga to give us this kind of songs ,Positive
"I'd love more from them together, Bruno-Gaga collabs. They have great artistic chemistry.",Positive
"Drops a banger, disappears for two years, comes back, repeat.",Neutral
"When you love someone from deep down of your heart, this is the song that would come out of your heart.",Neutral
Such a beautiful voice.,Positive
"what a fucking song man, this is why these 2 artists are still superstars after 15+ years. talent.",Negative
The harmony is wonderful.,Positive
The vocals 100 % ,Neutral
i love how gaga manages to look like a new person nearly everyday,Neutral
It has strong touches of Bruno Mars' signature style and Lady Gaga's legendary vocals,Positive
"I am a student attending a university in Korea. I had an assignment to write a comment, so while I was looking for a video, I suddenly remembered this song and listened to it again after a long time. I think the songs of Bruno Mars and Lady Gaga have beautiful lyrics, and their voices have the power to impress many people. Through this song, I learned the importance of doing my best to love the people around me, and I want to thank you for releasing such a wonderful song.",Positive
"Finally… REAL music. Melodies, harmonizing, vocals, talent.",Positive
"i love being a lady gaga stan like come on new music every year, fresh concepts, fun mvs, experimental sounds, unforgettable performances, and a kind, resilient, unproblematic woman that is lady gaga. we are god's favourites fr fr.",Positive
i love that they didn’t try to make music that’s trending as far as production and the sound in general. they made what they know sounds good and that’s why it’s so immaculate ,Positive
"This is everything that is missing from music these days. Vocals, harmonies, proper enunciation, songs longer than 2 minutes, epic bridge, non boring chorus, not catering to tiktok. Im in love ",Neutral
Two pop icons casually serenading with their heavenly vocals....it's so beautiful I could cry.,Neutral
LADY Gaga and BRUNO Mars Just dropped A TIMELESS Classic. The duo we didn’t know we needed. we love you both.,Positive
Bruno Mars and Lady Gaga have just dropped one of the best pop throwback songs ever. The vibe of the video takes you back to the 70's-80's and the music takes you back to the early 2010's,Positive
"this song is so strange and lovely at the same time, he rlly brightens up my mood at the beginning to the point where i get emotional after he goes all out singing "" and die with a smile""",Neutral
"Weird way to announce you two are vocal soul mates, but okay. I'm here for it",Neutral
"My grandfather died a month before this song was released. After a few weeks, my grandmother also gave up. She thought she'd be the first one to die, since she's older than him. This song reminds me of their unconditional love to each other<3",Neutral
Bruno is the modern pop king to me.  Dude makes such great music.,Positive
"This song, only a year old, instantly transports me back to my childhood, evoking a sense of nostalgia and magic. It’s as if I’ve been listening to it for years!",Neutral
crazy how bruno can do DIE WITH A SMILE and APT in a year. versatile king!!!,Positive
"This is everything that is missing from music these days. Vocals, harmonies, proper enunciation, songs longer than 2 minutes, epic bridge, non boring chorus, not catering to tiktok. Im in love",Neutral
I didn’t expect their tones to be nearly indistinguishable at times. What a great blend,Positive
"If this song doesn't win best single, best duet, best song, best video, best production, best of literally everything it's eligible for then the music industry has no idea. This song has absolutely reinstated my faith that someone out there knows what great music is.",Positive
it's crazy how this song is a whole different vibe compared to APT.. Bruno is definitely getting the collab of the year ,Neutral
"I'm 73 and I'm loving these two !!!  I loved her in the ""the hotel,"" she's an awesome actress.",Positive
I think this is the best duet Bruno has had with a female singer. Lady Gaga is lovely.,Positive
Both of their voices infuses perfectly ! It’s insane !!! Imagine having one album from both of em! MINDBLOWNNNNNN,Negative
My mom use to buy all his songs on Apple Music. It confused me cause you can just listen for free literally anywhere. But her words were “I like to support him in this way. His music touches my soul.” And feel the same way but with Lady Gaga’s songs. My mom sadly passed due to metastatic breast cancer that came back in her bones. I was her only caretaker and she was all I had. She passed June 11th 2023 and I’m 19 now. This song came out and it hits me so close to home cause I wasn’t there when she passed. So yes I just wanted to hold her just for a while and for her to die with a smile. I feel like my mom sent me this song to tell I’ll be ok. Love you mom and love you Bruno and Gaga for this creating this song.,Neutral
"Congratulations to Jessica Sanches with this song, she made it to AGT Champ.",Neutral
Lady Gaga and Bruno Mars have truly outdone themselves. This song is a testament to their incredible talent and perfect harmony. I can't get enough of it,Positive
2 weeks ago my sister called me and told me our brother don't have much time left and i said i needed rest before i drive 5 hours at night. I saw my brother in my dream and he said he was leaving and i gave him a hug in my dream and said see you in the next life. When i woke up my sister called me to tell me he passed away. Once i started my truck this song came on the radio and i broke down. Its been on repeat since <3,Positive
Real music is COMING BACK ,Neutral
"I really wish to find my true love of this hard life , I’m really tired to thinking about him every day but I’m not find him until now. I’m now 24 years old ",Neutral
"I wasn't ready for this. After Shallow Lady Gaga delivered another legendary duet, this time with Bruno Mars. It deserves at least a Grammy",Neutral
We need to give Bruno Mars his flowers right now!,Positive
"On paper, Bruno Mars and Lady Gaga sound like the most random pairing, but I realize that as we are in the 20's now, these two made the most sense to come together and bring back long form pop music with the best vocals out there.",Positive
"I couldn't believe my eyes, I LOVE surprises like this no teaser at all no announcement, just the music right away.",Positive
If this song doesn’t win some kind of award I’m gonna be sick,Positive
And the Grammy goes to Lady Gaga and Bruno Mars best Pop Duo.,Positive
This song is a mixture of the 70's +80's+90's+2000. It's got an unpredictable melody that makes you want more,Neutral
i love this song so much ,Positive
Glad to hear Bruno sticking with this old school vibe. Big fan of all his music. Great talent as is Lady Gaga.,Positive
This brings me memories from Bruno's Era in 2010's. Like Grenade and all those bangers! His voice doesn't change at all.,Neutral
"Literally no one asked for a collab of the two most iconic vocalists in the music industry, yet they did it anyway.. 2010s making a comeback??",Positive
"I've just seen this video on Instagram, I've never heard of this artist before, but I'm absolutely in love with his voice! ",Positive
"i'm obsessed with the way they sing ""id wanna hold you just for a while""",Negative
it's so refreshing when artists come back strong and stay true to their sound without trying to chase the current trends,Positive
A duet where they’re actually in the same room together? Rare nowadays! this was so awesome!,Positive
Lady Gaga and Bruno Mars is indeed Icon.Gaga possessed Amy Winehouse aura with her trademark Beehive Hairdo as Priscilla Presley tooTrue Legend Great collab music video,Positive
"My uncle passed away today, August 31st 2024, after a fight with Lewy body dementia. I got the chance to see him in the hospital a few weeks ago, and this was the last song we listened to together. It's already such a beautiful song, but it will now, forever, and always hold a deep meaning for me. He loved Bruno Mars. He was the kindest man I have ever known, even in his final days. I love you, uncle Craig. I know you're flying high up in heaven, free of pain, heart full of love. I'll see you again one day on the other side. ️",Positive
I was not a Gaga fan early in her career but this woman has shown a versatility unmatched by any female artist out there now. I would venture to say she is this generation's Madonna but bringing it in her own way.,Positive
I think this song will still be played and remembered 10-20 years down the line. gaga and bruno cooked up a timeless classic,Neutral
I'll listen to this masterpiece every time you reply to this comment.,Neutral
"After my wife got sick in 2019 I realised I woke up from my standard routine life, by now  being alive and I appreciate the small things more everyday. , But being confronted by your mortality  on a young age is tough. Now we are planning to go to Japan and we just moved to a new place. I love her and she is my soulmate, still after 13 years. Wanna be next to her everyday!  Thanks for this amazing song! I hope everyone reading this is smiling everyday and blessed, also during the tough times!",Neutral
"Everytime I hear this song all I think of is my great grandparents, they were married for 70 years and loved eachother through all of it. They really did die with a smile because of eachother.",Positive
"Gaga and Bruno are ARTISTS, the level of vocal performance and musicianship is unparalleled.",Neutral
"This song is so new, but it feels so old. Lady gaga and bruno mars are both legends.",Neutral
"I heard this song played in the car by my daughter last week. I lost it and I sobbed. I'm a widow since Jan. 17, 2022. I was the last person my late husband saw while in the ICU for 28 hours. I miss him so much.",Neutral
Absolutely the next big wedding song for the world.,Neutral
"I'm calling it now, this will be the trending Halloween costume duo later this year.",Neutral
"""Our love is the only war worth fighting for"" The best message of this song. We  all need it today.",Positive
2010s icons still doing iconic things is simply iconic.,Positive
Y’all didn’t have to snap SO DAMN HARD ON THIS!!!! I’m kinda mad cause now I want a whole Gaga and Bruno album,Negative
"This is my favourite song ""Die with a smile"", and vocalist Bruno Sir Gaga ma'am, Really These are true legendary 90's singers ️️️",Positive
"This song deserves a Grammy, it is pure poetry and conveys a series of deep emotions of love that one can have for someone else.",Positive
"When the world needed them the most, they came back.",Positive
"BRO IM LITTARLY CRYING the fact that he came back!!! this has to be the top song this year, there is no way!!!!!",Positive
This song is master piece. It still motivated me to move forward until I kill my enemies.,Neutral
