comment,sentiment
"Have you seen my latest music video ""Beautiful Things"" yet? https://youtu.be/Oa_RSwwpPaA",Positive
"Dear Benson Boone. I know you won’t ever see this but whenever I hear this song, it hits me so hard because I lost my dad when I was 8 to suicide, he hung himself. This song is so emotional and I relate so much to it. It’s been so many Christmases without him. I miss my dad so so much. Thank you lots to anyone who took the time to read this.  edit: I hope you saw this benson ️ ️ edit #2: my dad’s brother just passed away yesterday too (june 20th 2025) ",Neutral
I just lost my son to suicide a week ago today .My granddaughter is singing this song every morning to find some kind of peace .So now I find peace in it too thank you,Positive
Who's listening in 2025?,Neutral
"I used to listen to this song and cry for no reason at all. But now, I have a real reason to cry. It’s been 46 days since I lost my dad , and every lyric hits harder than ever. Each line feels like it was written for this pain. This song has become a bittersweet reminder of the love I’ll carry with me forever for my daddy ️.",Positive
Who's still listening in 2024,Neutral
Who's in 2025,Neutral
People who cry ,Neutral
"We're all gathered here and listen to  our dear Benson Boone's masterpiece  . yes, it's really hit so hard for who lost their dearest, Sunday morning now hit different w/o my beloved husband beside me we used to hunting food around  and do cooking  stuff in the afternoon. Thank you for this song ",Neutral
Benson boone is such a sweet heart! To have such a close relationship with his great grandmother is the most amazing thing that a grandmother or great grandmother could ever wish for. He is a precious boy.,Positive
He's one of my favorite singers he has such a unique calming voice! Soon I bet he will win another grammy or his first if he hasn't,Positive
Written after his great grandmother passed is so touching.  This kid has an amazing ,Positive
My wife’s dad passed away of a heart attack and every time my son dedicated that song to him he is going to be missed in heaven rest in peace️️,Neutral
"This song is very special,only dad is not here on earth anymore but he is in heaven since he accepted Jesus as his Savior,and heaven is way better than earth could ever be ",Positive
This song hits hard especially after losing an infant child no mother should have to bury there child I love Benson Boone I'm a huge fan keep doing what you do best Benny ,Positive
"I'm thankful for the positive blessings and support that are happening my life. I'm thankful for good health, great relationships, and financial abundance ",Positive
beautiful muisc,Positive
"I loved this song, it's perfect, it brings joy because it gives me goosebumps, I loved it.",Positive
"my dad died when I was 4 . Now I am 16 , it still feels like yesterday . This makes me remember him even more .",Positive
It’s amazing that this song isn’t his most popular song. In my opinion this song has the best story behind it. Please like the comment if you agree that In The Stars is better than Beautiful Things.,Positive
HE'S THE ONLY SINGER I WILL NEVER GET TIRED OF  I LOVE BENNY,Neutral
"This song brought me to tears, because me and my mom sang this at my brothers funeral last year we lost him to cancer I really miss him he was only 16, thx for this beautiful song!!",Positive
Just lost a friend now listening to this song hits more makes me think of her,Positive
Thank you for this wonderful song. I’m new to your music and am blown away how amazing it is and by your passion when you sing. I lost my sister 7 years ago x I’m still struggling with my faith and In The Stars holds so much meaning for me and many people x so thank you again ,Positive
The fact that this dude chose to keep this song soft and tender is just Genius.,Neutral
"I love the mama song, and I listen to one of your songs every day ",Positive
It’s crazy how much I feel in this song(currently crying),Neutral
Heart touching  listening this song ,Positive
this song reminds me of my grandma she passed away at 78 she had cancer i miss her so badly  my birthday was yesterday i turned 11 and she passed when i was 7 and im so sad i love you benson boone thank you,Negative
"Benson. You know what? Your song is just like for my father that prepare for his rest in peace at 2023. But, I thank you. May God bless you.",Neutral
This song made me cry,Neutral
we usually have moments like this in our lives and don't know how to express it . Benson boon thank you very much for this expression ,Neutral
Your great benson never seen someone more dedicated to their job hope you know your song will forever stay good,Positive
"I heard this song for the first time on Sunday at Lollapalooza in Berlin. Great vocals, great lyrics. It could be sung in any language, the lyrics are heartfelt.",Positive
This is typical of the depth of singers and writers of any ethnicity ,Neutral
I went to his concert last night in Austin.  It was the best concert I have ever been to. I am 53 and have been to a lot but this was amazing.  He is such a showman but the best part was his voice.  Perfect.,Positive
I've recently lost my grandpa to Cancer and this song still gives me a piece of him too hold. Thank you.,Neutral
"I lost my beloved dad from covid, i always remember you, thanks for being my dad, I & mom and sister forever love you!",Positive
This song reminds me of my mother and my son's relationship.,Neutral
"Even though I’m very late to comment anything and I know Benson isn’t going to see this every time I hear this song I break down. I recently lost one of my best friends at a very young age some would say, and on top of that Benson Boone was her favorite singer. She loved this song and the part that hits the hardest is “Sunday morning were you’re favorite” because she religiously went to Church every Sunday, even missing hanging out with friends just to go talk to God. Whenever I miss her I always listen to this song and the rest of his album. Thank you Benson",Positive
I wish you good luck Benson and everyone that lost loved ones,Positive
I love ️ your songs so much,Positive
Beautiful And Bittersweet..I Love this Beautiful Song! Your voice is Amazing! You are destined to be a Star! ️,Positive
"Can't stop crying. It's Sept 2025 & I've never heard this sing or any of his from 1st album. The title had me curious reminding me of Grace Potter's ""Stars"" which also makes me cry unstoppable. This heart breaking but beautiful song reminds me of my grandmother,  my soul mate, my favorite person ever. Thank you for this song.",Positive
I love the song ️️️,Positive
hi im 11 every time i listen to this song  i think of best freind who moved to a differnt contry ,Positive
This song makes me cry once you get to know the story  it's just so beautiful ️️,Positive
Miss you legend Zubeen Garg!,Neutral
I listen to this song almost everyday cus it reminds me of my uncle and grandmother ,Negative
Essa música me faz chorar!,Neutral
"Benson really puts me on n mind of early Garth Brooks—joy, passion, excitement!",Neutral
Dear Benson boone i lost someone on the day of march 2 2021 and this song makes me remeber him i miss u eric and fr i love u benson boone sincerly riley # number 1 fan,Positive
Who's still listening in 2025?,Neutral
I. Love this song ,Positive
"I lost my Mom on September 14, 2022 to stage 4 cancer, I miss her every moment I am awake and cry  when I am sleeping. She was the foundation of our family and our protector, she also protected people around her, she would get upset when she would hear people getting ripped off from companies and other people and would then fight and make sure they would get their money back... I miss you Mama  ",Neutral
My dog just passed away this song helps me,Neutral
