comment,sentiment
"2011: ""legendary song"" ",Positive
I heard that you're settled down,Neutral
Anyone still here with me crying while listening to this song up till now?,Negative
"Anyone else want to return to his/her childhood? I wish I had appreciated more that moments, when you hadn't to worry about anything and everything was so beautiful",Positive
"This Song is like a drug. It destroyed you, but you can't stop (to hear) it. (Sorry for my bad english, i'm german :D)",Neutral
I love you Adele.,Positive
"Let’s be honest, this song is still legendary",Positive
"Stop asking who's still listening,we never stop listening",Neutral
2018 still love this song.,Positive
This is a masterpiece.,Neutral
I first heard this song when I was 14. Now I'm 24 and I'm still listening. Because it's really impressive.,Positive
"That moment, when you find a great song but it reminds you of a bad time...",Neutral
I can feel how hurt she is in this song.,Neutral
"Adele, we all need someone like you ️",Neutral
Adele has a great way of making people realize they have feelings they didn’t know were there. I love this song so much!,Positive
I’ve never seen Paris so deserted before. It’s so beautiful.,Positive
Essa música faz me arrepender de não ter dado valor em alguém que só quiz me fazer feliz hj depois de 15 anos estou aqui ouvindo nossa música e me arrependo ,Neutral
"1 year has passed, and he hasn't come back.",Neutral
"Adele isn't artist, she is art.",Neutral
살다보면 피해갈수없는 추억과미련들....,Neutral
"Let’s be honest, this wasn’t in your recommend;you searched it.",Positive
Who’s here just listening and doesn’t care what year it is,Neutral
Adele's the type of singer to make you miss the relationship you never had,Neutral
This song is her best song,Positive
"it's October 22nd, 2021, let’s see who’s listening to this masterpiece!",Neutral
"my biggest flex is that adele posted this on my exact birth date, same song my momma was listening to when she had me",Neutral
This brings back many mеmoriеsThanks Adеlе for your amazing music!!,Positive
Adele will always be in our hearts ️,Neutral
"So,basically quaratine brought everyone to the old legendary songs",Positive
My best song  love u adele who is here  2019,Positive
"I love this song. It's calm, sad, and nostalgic. ",Neutral
I’m curious how many people listening to this song in a day,Positive
Anyone listening to this in September?,Neutral
Magical ,Positive
When you play this the nostalgia kicks in,Neutral
"In Sep 29,2025 this will become 14 years old and it will still be legendary ",Positive
This song is a masterpiece!,Neutral
Almost 10 years later and it still hits the same.,Neutral
"On September 30th 2025, it will be 14 years since the song was released, and I still cry every time I listen to it.",Neutral
2018 ?? ADELE ,Neutral
I always wish the best to those who break my heart.,Positive
2017,Neutral
"To the person that reads this, I ask the Lord to bless them and their family, to cure them of every sickness and pain, to fill their emptiness with love joy and peace, to rebuke the enemy from their lives.  "" ASK JESUS TO COME INTO YOUR HEART AND SAVE YOU, AND TO FORGIVE YOU OF YOUR SINS, FOR WE GIVE THANKS AND GLORY TO THE LORD. IN THE MIGHTY NAME OF JESUS CHRIST AMEN!",Positive
"لا حب لا عائلة لا حروب و لا سلام عاشه قلبي هنيئا لمن كان له الجنة و تعسا ضلال لمن ربح الدنيا و كل من عليها فان   !  ، 24/9/2025 ذكري سلامي النفسي و التشافي من اي حب زائف كرست حياتي لعبادتك وحدك يا ودود يا محب يا غيور No love, no family, no wars, no peace my heart has lived. Blessed is he who has paradise, and wretched is he who has won the world, and all that is in it will perish. ! 9/24/2025 A memory of my inner peace and recovery from any false love. I have dedicated my life to worshipping you alone, O Loving, O Loving, O Jealous One. ",Neutral
people forget the meaning of her words and don’t see how much pain she was in,Positive
We can do better together for our world.. Coronavirus,Positive
Message for the future generations : Never let this masterpiece die,Neutral
