comment,sentiment
I was just waiting for this... in 2010,Neutral
10 years ago ,Neutral
Listening to this song at bed time is the worst decision. Now im gonna fall asleep in deep unexplainable sad feeling.,Negative
This is one of my favorite Bruno Mars songs. It’s also one of his songs that have made me cry.,Positive
This song makes me miss my husband who passed away in Nov 2020. Miss him so much.,Positive
"‘’People cry, not because they are weak, it’s because they have been strong for too long’’",Neutral
"i used to sing this to my crush at 9th grade few years ago, she really like this song, so i bring my guitar to school every friday afternoon after class just to entertain her even tho the other kids r lookin me like im this creepy guy, but deep down i know she really liked it, years forward, i never told her that i like her, n now shes engaged, im happy for her, thank youu Bruno Mars,",Neutral
"Bruno Mars, what an incredible talent. Music is such a beautiful way to raise emotion within each of us.",Positive
Don't worry you aren't alone listening to this masterpiece .,Neutral
"I don’t know man, I just feel like it’s nice when you talk to someone and they just listen. No feedback no opinions. Just straight up let it out to someone. The moon is such a good someone.",Positive
He’s a guy who makes me feel a heartbreak that I never had. A girlfriend that never existed. A love the never happened. Now that’s real emotion. Felt something that never happened.,Positive
Canzone e voce super SPETTACOLARE e BELLISSIMO ogni volta che ti ascolto impazzisco di gioia canzone di pura verità ,Positive
still waiting for new album,Neutral
My man waited 9 years just to make people remember how joyful it was back then,Neutral
He probably doesn't know how much this song meant to me,Positive
"Man, it's been fifteen years now. I was ten in 2010 and this was THE song for a few months.",Neutral
Who's been a Bruno fan since Day One?!,Neutral
His songs get different when I grow up. I'm crying now.,Neutral
Bruno Mars really said “I’m going to make 2020 better” and I love this song so much,Positive
Never gets old. Where is the old and so familiar sounds??? ,Neutral
C'mon Bruno we miss you so much it's been a while you posted here.,Positive
This song makes me miss someone i've never met.,Neutral
"Bruno Mars se ganó el Corazón de toda la Comunidad Latina, es un Grande.",Neutral
"It's 2025 and I'm still listening. Thank you Bruno. Every time I hear your voice, it makes me feel better.",Positive
I lost my dear Papa in 2019. I always talk to the moon imagining that it was him..  RIP Papa. I love you and miss you very much.. ,Positive
"I just lost my mom. My life feels pointless and empty. She was everything.  My mom, my bestfriend, and my therapist. Life will never be the same without her. This song is everything",Neutral
I can't believe someone could actually dislike this song... Its so much into the feelings,Neutral
Love this track he's a lovely singer songwriter,Positive
I have never clicked so fast after seeing “Bruno Mars”,Positive
This song became a worldwide hit ,Neutral
Why does his songs hit different when I grow up,Neutral
️TALKING TO THE MOON総再生回数2億回到達おめでとう!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!️🇺🇸️️️,Neutral
