comment,sentiment
HELLO,Neutral
"Bruno Mars should officially change this song's name to ""The Quarantine Song""",Neutral
People watching this like:,Neutral
Bruno: Today I swear I'm not doing anything,Neutral
Other singers- Spends thousands of dollars on an official music video,Neutral
Who are today??,Neutral
9 years later and i still don’t feel like doing anything.,Neutral
LYRICS,Neutral
My eyes =  reading comments,Neutral
Is anyone still listening to this hit in 2025?,Neutral
The fact that this comment section is alive after 10+ years is incredible,Positive
"10 years later and im still ""don't feel like doing anything""",Neutral
Hey random guy scrolling comments...have a great day,Neutral
Me: Stop wasting your time,Neutral
2011: The Lazy Song,Negative
Bruno can do no wrong. Even a silly song is so much fun. Love this guy.,Neutral
This should be the official LOCKDOWN song.,Neutral
"3 years later, and I still remember every line, lol.",Positive
Bruno Mars: writes song about not doing anything,Neutral
When the school gives online classes because of the corona virus :,Neutral
No one:,Neutral
Bruno: I'm not gonna do anything today,Neutral
if you listen to this song from 14 years ago until now you are definitely a legend,Neutral
"Plot twist: He knew a pandemy would exist, so he recorded the video at his home 10 years ago to tell us how our life was going to be: ""lazy""",Negative
People watching:,Neutral
2011: just a song,Neutral
Just imagine how many people's come here everyday.,Neutral
Me every day in quarantine:,Neutral
this song literally describes all the hits in the world.,Neutral
"To anybody who's reading this, I pray that whatever is hurting you or whatever you are constantly stressing about gets better. May the dark thoughts, the overthinking, and the doubt exit your mind. May clarity replace confusion. May peace and calmness fill your life",Neutral
"Damn, the memories from those days, back when youtube recommended things like this, maybe some weird things like keyboard cat, but man, those days.",Negative
Bruno: Today I dont feel like doin' anything,Neutral
I'm honestly intrigued as to who the people in the monkey masks are.,Positive
Anyone just randomly listening to this song  in 2025,Negative
The fact that this comment section is still active in 9 years,Neutral
"shout out to my younger self who had no idea what he meant by ""put my hand in my pants""",Neutral
Anyone else just randomly listening to old songs ?,Negative
Anyone watching in 2025.............,Neutral
Everyone Stand up for the Lazy people's national anthem,Negative
Who else is just randomly listening to good old songs,Neutral
The perfect quarantine song.,Positive
"The most realistic song. YES, HE DESERVES HIS GRAMMYS.",Positive
"As sarcastic as I am, I'm listening to this while working out.",Neutral
Probably the cheapest most successful video clip ever,Positive
Bruno now compared to before is a MASSIVE Difference,Neutral
Everyone be honest. This is how we actually felt even before quarantine.,Positive
I refuse to believe this song is 9 years old.,Neutral
"Why am I randomly here at its 8th aniversery, April 2019 anyone?",Negative
Mark your presence if your are listening to this in 2025.October ..listening from USA,Neutral
Me seeing all the Spanish people talking not knowing what they’re saying: Sí,Neutral
Bruno Mars: no I ain’t gonna comb my hair cause I ain’t going anywhere ,Neutral
