comment,sentiment
Are we Gonna ignore the fact that she was rechecking her phone literally every minute In the party...waiting for his birthday wish (even cried)  and he was checking his phone everytime waiting for her reply as well ( seeing old photos as well),Neutral
We are getting older bt this songs are still younger...,Neutral
this song hits different when you haven’t listened to it since years.,Neutral
The saddest thing about missing someone who you used to be close to is not knowing whether they miss you too or not ,Negative
"miss the 2016-2017,when my life is beautiful,no study pressure,just play with my friend and enjoy the life ",Positive
Who is listening in quarantine,Neutral
I almost related to this song but then I realised I'm single af.,Neutral
"the emotions and the memories these old songs give hits different, the good thing about getting old is you feel that you are alive.. memories getting more valuable.",Positive
Missing someone and listening to this middle of the night?,Neutral
selena new song: boyfriend,Neutral
September 2018,Neutral
Charlie puth: name's a song girlfriend,Neutral
Irony of life:,Neutral
The fact that this comment section is alive after 4+ years is incredible,Positive
Anyone 14 September this song always bring me so many memories,Positive
selena gomez: why am i not in the video?,Neutral
This song was 8 years ago and we still don't talk anymore.,Neutral
"Hey you, I have something really IMPORTANT to tell you. If you are reading this I just wanted to tell you that you are beautiful and  someone out there care's about you <3 I hope you have a beautiful day/or that you've had one, because you really deserve it <3",Positive
"It’s  August 2025, and even now, I still remember her—my first love. We started talking in 2022, and over two years, something real grew between us. At least, that’s what I believed. We shared countless conversations, late-night thoughts, silly jokes, and quiet moments that made me feel like we had something special. On the night of November 19th, I finally opened up and proposed to her online. She didn’t say yes, but she didn’t shut the door either. She gave me something both beautiful and painful: hope. She told me maybe we’d be in a relationship in 2025. I held onto that for so long. That small hope became something I carried through everything—the hard days, the lonely nights, the changing years. But today, in August 2025, that hope finally broke. I saw her with someone else. Laughing. Holding hands. Happy. And the worst part? I stood there quietly, watching the girl I once dreamed of building a future with, now living a different story—one that I’m not part of. It hurt more than I want to admit. Not because she moved on—I know people grow, change, choose different paths—but because for so long, I believed that maybe, just maybe, we were still written into each other's futures. She wasn’t just someone I liked. She was the first person I ever truly loved. That kind of love doesn't fade easily. It lingers, even when it’s no longer returned. And while I know I have to move forward, I also know it’s okay to feel the sadness. It’s okay to miss what could’ve been. But I’m also learning that love isn’t just about getting someone in the end—it’s about what that person awakened in you. She taught me how deep I could feel, how much I could care, how brave I could be when I’m vulnerable. Maybe that was her role in my life—not to stay, but to show me what love looks like, even if it wasn’t mine to keep. She’ll always be my first love. Not my forever, not my ending—but a part of me I’ll always remember with both pain and quiet gratitude.",Neutral
